concept,locus,dim,real,perm,control,selectivity,n_types,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1280,0.6577803759884311,0.5305618288668041,0.7134323350228546,-0.05565195903442355,39,0.9945111427492228,0.7832045459070057
Effusion,vis.block12,1280,0.6804599858465893,0.5140054152179933,0.7244065941096602,-0.04394660826307095,39,0.9965236656303571,0.8126225423974655
Effusion,vis.block16,1280,0.6674031568259439,0.5228331435955816,0.7224485501631466,-0.05504539333720271,39,0.9959954383008397,0.8098353872012696
Effusion,vis.block20,1280,0.6683800498446203,0.522539614165718,0.7236384187216982,-0.05525836887707791,39,0.9963894296423279,0.8050123288956892
Effusion,vis.block24,1280,0.6780342143318667,0.5181499030799053,0.7326581882548642,-0.05462397392299745,39,0.9962072522300025,0.8061926038002009
Effusion,vis.block28,1280,0.682127626842251,0.5142660225839205,0.728167994824804,-0.046040367982552954,39,0.9963099630996309,0.8060286451297307
Effusion,vis.block4,1280,0.6735955816744101,0.5167425617673302,0.7247372948226714,-0.051141713148261214,39,0.9964100589824796,0.80455401250807
Effusion,vis.block8,1280,0.672330389834159,0.5436515799513861,0.728297943428283,-0.055967553594123975,39,0.9963722869512159,0.8103433320155967
Effusion,vis.last,1280,0.6706430571367035,0.504512784222024,0.7325006575626818,-0.06185760042597832,39,0.9963304471627392,0.8112761757955479
Effusion,connector,3584,0.6768764038029598,0.5206335189686471,0.7143155305642243,-0.037439126761264485,39,0.9959649301217421,0.7905359016873665
Effusion,llm.L0.ans,3584,0.6698378511430418,0.523265130303683,0.713657967882506,-0.04382011673946418,39,0.9931169189644652,0.7809786611985337
Effusion,llm.L0.vis,3584,0.6787323466970248,0.5049318482508232,0.7209389284216363,-0.04220658172461156,39,0.9958254641601534,0.7885678288345426
Effusion,llm.L1.ans,3584,0.6559582782068245,0.4946875480754439,0.7168599071592581,-0.06090162895243356,39,0.9937873725193946,0.7823575920116719
Effusion,llm.L1.vis,3584,0.6682102089166488,0.5133731269807082,0.7163224829566862,-0.04811227404003737,39,0.9956660952436297,0.779291436892265
Effusion,llm.L2.ans,3584,0.6657084397403157,0.5208679732931294,0.7080350605313107,-0.04232662079099503,39,0.9931997268791586,0.7728292184873711
Effusion,llm.L2.vis,3584,0.6728312974985386,0.5242226393034061,0.717359939148794,-0.044528641650255385,39,0.9950475055931662,0.7789208590126077
Effusion,llm.L3.ans,3584,0.6581662102704532,0.5430082151318422,0.7002536414754996,-0.04208743120504643,39,0.9935995293023797,0.761766629789001
Effusion,llm.L3.vis,3584,0.6636521953170671,0.5134798929263715,0.7066876612805767,-0.0430354659635096,39,0.9950029055408665,0.7725569020485592
Effusion,llm.L4.ans,3584,0.6562330389834159,0.5157013630349836,0.6996378784539813,-0.04340483947056539,39,0.9942987477118866,0.7605429833367936
Effusion,llm.L4.vis,3584,0.6569425556136735,0.5338318820959356,0.7149779272202516,-0.05803537160657801,39,0.9952857599442138,0.7764850844536464
Effusion,llm.L5.ans,3584,0.6517479462170395,0.5276388418817882,0.6988468127759097,-0.04709886655887019,39,0.9938739576372142,0.7695193294900928
Effusion,llm.L5.vis,3584,0.651040275683825,0.5053681425186918,0.7062946876044104,-0.05525441192058533,39,0.9940137141528895,0.7728626359093663
Effusion,llm.L6.ans,3584,0.6546897018553275,0.5094267868680964,0.6960077059237513,-0.041318004068423786,39,0.9919609495307553,0.7580285711847969
Effusion,llm.L6.vis,3584,0.6599784622011631,0.5043303282975908,0.7002785222256187,-0.04030006002445563,39,0.995013074933899,0.7739227502964908
Effusion,llm.L7.ans,3584,0.6505365988738808,0.5129134488169594,0.6902585465376658,-0.03972194766378501,39,0.9918333962867186,0.7577967822577665
Effusion,llm.L7.vis,3584,0.657042552536845,0.5232937448078521,0.7082214528936313,-0.051178900356786294,39,0.9937995757910336,0.7699295816707574
Effusion,llm.L8.ans,3584,0.6396480108304359,0.5235466601027661,0.7014823240042369,-0.06183431317380106,39,0.9923192027195863,0.7524205589668187
Effusion,llm.L8.vis,3584,0.6631577489923387,0.50814098027753,0.70373552473502,-0.04057777574268129,39,0.9940083389022866,0.7690888846544355
Effusion,llm.L9.ans,3584,0.6365717977908372,0.4995006307498231,0.692432413219498,-0.05586061542866083,39,0.9917258912746608,0.7541908291217903
Effusion,llm.L9.vis,3584,0.6577357619765546,0.5043524814621089,0.6965195384976293,-0.038783776521074675,39,0.9933236481971119,0.7615692536965357
Effusion,llm.L10.ans,3584,0.6613759576628412,0.5015645672440848,0.6908272493975305,-0.0294512917346893,39,0.9914038120696168,0.7389438103824375
Effusion,llm.L10.vis,3584,0.6548306205962893,0.5009267407156703,0.7082019748206809,-0.053371354224391654,39,0.9944533224859807,0.7686503343164217
Effusion,llm.L11.ans,3584,0.6318507122857758,0.5256496723177748,0.6935290145090317,-0.061678302223255876,39,0.9914819711189238,0.7376621455975746
Effusion,llm.L11.vis,3584,0.6494264791852559,0.5011015045690902,0.7015630798103376,-0.05213660062508174,39,0.9921933928000698,0.7587290572305347
Effusion,llm.L12.ans,3584,0.6267167164087258,0.522621765484139,0.6870658486823865,-0.06034913227366068,39,0.9898140453845483,0.7485939086438783
Effusion,llm.L12.vis,3584,0.6683034368173286,0.5118270207070551,0.7133168883423022,-0.0450134515249736,39,0.9934881018101518,0.7696942376988336
Effusion,llm.L13.ans,3584,0.64495923202363,0.5013011907325928,0.6867802176710196,-0.041820985647389564,39,0.9903425632681524,0.7404714842739035
Effusion,llm.L13.vis,3584,0.6552933755884435,0.49991354112181163,0.6960077059237512,-0.04071433033530769,39,0.993242002498765,0.7549676775318319
Effusion,llm.L14.ans,3584,0.6437405002922987,0.49899449247715455,0.6938267304561708,-0.05008623016387215,39,0.9899607751983032,0.7440489970507348
Effusion,llm.L14.vis,3584,0.6604129103719886,0.523204516784099,0.6950306744105039,-0.03461776403851535,39,0.9923508731150303,0.7526052790994645
Effusion,llm.L15.ans,3584,0.63359558167441,0.5172114704162949,0.6773194190700286,-0.04372383739561858,39,0.9899173373623499,0.7339448484555463
Effusion,llm.L15.vis,3584,0.663249438478816,0.5163071905479832,0.6958804586588565,-0.03263102018004049,39,0.9934620972193974,0.7551087417131903
Effusion,llm.L16.ans,3584,0.6325746900095381,0.513919571705486,0.677141415074891,-0.044566725065352863,39,0.9899674579422959,0.7313414179794262
Effusion,llm.L16.vis,3584,0.6425516137964986,0.491880557521307,0.6890253143860496,-0.046473700589551026,39,0.9933612749513321,0.7479979409179979
Effusion,llm.L17.ans,3584,0.6356518260976586,0.49563890341835637,0.6815282467601709,-0.045876420662512296,39,0.9890959409594096,0.7213416455022994
Effusion,llm.L17.vis,3584,0.6574554629088335,0.49399526168425584,0.693678725536891,-0.03622326262805753,39,0.9922963942237848,0.74800817944729
Effusion,llm.L18.ans,3584,0.620819974770007,0.5269127103781421,0.6891572534495383,-0.06833727867953121,39,0.987495278496092,0.7376912969656981
