arch,domain,concept,n,prevalence,behavioural_auroc,mean_p_yes,sd_p_yes,median_p_yes,frac_pinned,mean_margin,sd_margin,yes_rate,elapsed_s
qwen7b,general,Effusion,1000,0.126,0.626,0.1699,0.1364,0.133,0.143,-1.8695,0.9725,0.033,619.8
qwen7b,general,Cardiomegaly,1000,0.037,0.5876,0.31,0.1626,0.2942,0.013,-0.9282,0.8642,0.125,661.7
qwen7b,general,Pneumothorax,1000,0.085,0.543,0.0174,0.0183,0.011,0.941,-4.4054,0.8558,0.0,638.9
qwen7b,general,Atelectasis,1000,0.096,0.5581,0.1897,0.113,0.1645,0.053,-1.6327,0.7955,0.009,642.1
qwen7b,general,Consolidation,1000,0.05,0.6149,0.3332,0.2257,0.2942,0.046,-0.9066,1.2538,0.231,634.8
qwen7b,general,Edema,1000,0.038,0.6378,0.17,0.1137,0.148,0.103,-1.824,0.8914,0.009,620.2
qwen7b,general,Infiltration,1000,0.168,0.5774,0.5259,0.2308,0.5312,0.017,0.142,1.1715,0.517,629.2
qwen7b,general,Mass,1000,0.073,0.5975,0.1835,0.1714,0.1261,0.183,-1.8645,1.2138,0.062,617.5
qwen7b,general,Nodule,1000,0.076,0.5962,0.2009,0.1737,0.148,0.123,-1.6914,1.117,0.075,623.0
