concept,locus,dim,real,perm,control,selectivity,n_types,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1024,0.7050663056521338,0.5317110242761761,0.6526296850969191,0.0524366205552147,39,0.9979707702588837,0.8781501252797821
Effusion,vis.block12,1024,0.8042075628442202,0.5215544137103474,0.7335889893776821,0.0706185734665381,39,0.9989336665020193,0.9878441638961016
Effusion,vis.block16,1024,0.7852995292452539,0.5483191286421956,0.7252662025100776,0.06003332673517636,39,0.9984321701484732,0.9851256921672408
Effusion,vis.block20,1024,0.7856699793852497,0.5279779083720502,0.7322682056846666,0.05340177370058319,39,0.9983088299386931,0.9838226971130192
Effusion,vis.block4,1024,0.7499941540260299,0.5325879203716808,0.6976828975746678,0.05231125645136203,39,0.9991549234389983,0.9581895436175569
Effusion,vis.block8,1024,0.7987151164579551,0.5238866496415495,0.7280890869021304,0.07062602955582475,39,0.9983511055582996,0.988569108650704
Effusion,vis.last,1024,0.7752582997446233,0.527635149687702,0.7265173459001619,0.04874095384446142,39,0.9984674724700003,0.9777289235608466
Effusion,connector,4096,0.768774499246177,0.528867111781176,0.723937151658364,0.04483734758781299,39,0.9987003515704449,0.9784706481273445
Effusion,llm.L0.ans,4096,0.7479662164241101,0.5270296298575428,0.7044834062711584,0.043482810152951745,39,0.9983948339483395,0.9615430885661224
Effusion,llm.L0.vis,4096,0.7838792652533768,0.516497030860589,0.7155321135677806,0.06834715168559624,39,0.9983509602812564,0.9794952120655378
Effusion,llm.L1.ans,4096,0.7580332912833452,0.5170730131380573,0.6911738412526174,0.0668594500307278,39,0.9980861202312811,0.9587468324550004
Effusion,llm.L1.vis,4096,0.783814651856866,0.5423011599643087,0.724119309392389,0.05969534246447705,39,0.9987889705668711,0.9808734318696977
Effusion,llm.L2.ans,4096,0.7360311990400296,0.5122270083997416,0.6991586554629384,0.03687254357709113,39,0.998438417061336,0.9576269933136715
Effusion,llm.L2.vis,4096,0.7801883018984032,0.5387378849881542,0.7209860562458245,0.0592022456525787,39,0.9988190429148386,0.9774529098753459
Effusion,llm.L3.ans,4096,0.7535134303559891,0.5085095843204824,0.6955086348370781,0.05800479551891091,39,0.9983561902548159,0.954377682281372
Effusion,llm.L3.vis,4096,0.7769240946432416,0.5291169502476847,0.7282264058093184,0.048697688833923225,39,0.9986207397507045,0.9793079323005691
Effusion,llm.L4.ans,4096,0.7380951355342912,0.5176939171102428,0.7023189520269392,0.03577618350735201,39,0.9982651015486533,0.9596916211857922
Effusion,llm.L4.vis,4096,0.7594477093012524,0.5377625303836806,0.7232530793064331,0.03619462999481926,39,0.9985807885637912,0.9800576201676275
