model,domain,concept,run,job_done,n_eval,locus,arm,alphas_admissible,alphas_monotone,alpha_used,degraded_at_every_alpha,baseline_p_yes,concept_effect,concept_slope,n_random,rand_mean,rand_sd,rand_p95_abs,sham_effect,beats_sham,n_unrelated,unrel_mean,unrel_max_abs,beats_all_unrelated,rand_rank,n_random_expected,full_random_band,sign_as_expected,selective,effect_size_z,dead_locus,alpha_extreme,concept_effect_extreme,rand_mean_extreme
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L21.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,-0.001169848566254017,0.0007203457610949885,16,0.000630319681173809,0.0029658071053477474,0.00516811346945667,0.0023666154593229294,False,4,0.00044036470353603363,0.007185613736510277,False,3,16,True,True,False,-0.6069741502007604,False,-1.0,-0.001169848566254017,0.000630319681173809
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L21.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,0.005084271232287052,0.005171366177853761,16,0.00016463970920691656,0.004055478457531764,0.0074739127109447745,-0.0038332724943757057,True,4,0.00224904886757335,0.005937261196474197,False,13,16,True,True,False,1.2130828888866323,False,1.0,0.005084271232287052,0.00016463970920691656
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L26.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,0.007994422689080238,-0.008487513519468887,16,-0.00045395467896013064,0.0038009646625967904,0.00590889567198849,0.0001784187431136397,True,4,-0.0021273153057942973,0.008948085829615593,False,16,16,True,False,True,2.2226929524434205,False,-1.0,0.007994422689080238,-0.00045395467896013064
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L26.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,-0.004127719750007031,-0.004154755139635081,16,-0.002176897852526366,0.0034147317803788504,0.007362824243803828,-0.003414512922366497,True,4,-0.00046934334871670536,0.004906940273940563,False,10,16,True,False,False,-0.5712957921585949,False,1.0,-0.004127719750007031,-0.002176897852526366
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L27.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.9182377429679036,0.0748328439270457,-0.14966568785409082,16,-0.015192354020352163,0.07628938396584327,0.1630631158283601,-0.06565509798626101,True,4,-0.04399643718109775,0.13306499629591906,False,13,16,True,False,False,1.1800488255050594,False,-1.0,0.08003219868987799,-0.07002225357670491
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L27.ans,pos,0.25,0.25,0.25,True,0.9182377429679036,-0.1575235157894591,-0.630094063157837,16,-0.024413835693849258,0.05008044615881157,0.10890644229948523,0.015605564850072029,True,4,0.00036349900377294353,0.04203653056174517,True,16,16,True,False,True,-2.6579172173007777,False,1.0,-0.7851860053100003,-0.18021726792721893
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L27.vis,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,0.0,3.779062448759478e-17,16,0.0,0.0,0.0,0.0,False,4,0.0,0.0,False,0,16,True,False,False,nan,True,-1.0,0.0,0.0
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L27.vis,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,0.0,-1.636341021719593e-16,16,0.0,0.0,0.0,0.0,False,4,0.0,0.0,False,0,16,True,False,False,nan,True,1.0,0.0,0.0
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L7.ans,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.9182377429679036,0.010950996850927708,-0.021901993701854843,16,0.008712804604632161,0.017152725778036042,0.032513775862753364,-0.016434346325695515,False,4,0.014937232248485088,0.02167288927982247,False,8,16,True,False,False,0.13048609738526443,False,-1.0,0.04028018160412705,0.027702866257944457
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L7.ans,pos,0.25|0.5,0.25,0.25,False,0.9182377429679036,-0.002212144744892952,-0.008848578979572598,16,0.00023832325435554913,0.008662017814021093,0.014099495563035247,0.009617422707378864,False,4,-0.003315044644599141,0.008850958198308945,False,2,16,True,False,False,-0.28289805584121075,False,1.0,0.05619483161717653,0.026564175069021687
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L7.vis,neg,-0.25,-0.25,-0.25,False,0.9182377429679036,0.02804212737828493,-0.11216850951313935,16,0.011033551195093118,0.019489143589444743,0.04053110132614768,0.019676373961071136,True,4,0.026038788414249836,0.04751378142585361,False,13,16,True,False,False,0.8727205536319002,False,-1.0,0.05398749591161811,0.00957569363527
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,llm.L7.vis,pos,0.25|0.5|1,0.25,0.25,False,0.9182377429679036,-0.011553176368276241,-0.04621270547310542,16,0.004941032481535018,0.025336264801493057,0.042133672861382365,0.01355247013270855,False,4,-0.015226168558001546,0.054779490766425964,False,5,16,True,False,False,-0.6510118590503231,False,1.0,-0.055056021238366726,-0.008368833975206734
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,vis.last,neg,-0.25|-0.5|-1,-0.25|-0.5|-1,-1.0,False,0.9182377429679036,0.016586157493293285,-0.017323122067110123,16,0.002504999652349703,0.08567397779904447,0.18690893271317083,-0.032306488292912605,False,4,-0.050096513509439944,0.08232031972147524,False,3,16,True,False,False,0.1643574653901576,False,-1.0,0.016586157493293285,0.002504999652349703
internvl3_8b,general,Cardiomegaly,int_internvl3_8b_cardiomegaly,True,96,vis.last,pos,0.25|0.5|1,0.25|0.5|1,1.0,False,0.9182377429679036,0.0009209054211775092,0.0010353614177019475,16,0.0013221794652054156,0.05994917025075175,0.09683037512392428,0.06883514951914549,False,4,0.03554716116438311,0.06005451300491893,False,0,16,True,True,False,-0.006693571276290926,False,1.0,0.0009209054211775092,0.0013221794652054156
internvl3_8b,general,Effusion,int_internvl3_8b_effusion,True,96,connector,neg,-0.25|-0.5,-0.25|-0.5,-0.5,False,0.35206304511909065,-0.02521242599565693,0.05042485199131386,16,0.014745001339482143,0.06113904765683644,0.10709519476586138,-0.03914600482191116,False,5,-0.011575605005297519,0.053096358392698106,False,1,16,True,True,False,-0.6535500447997429,False,-1.0,-0.09029409189436899,0.025724747173323202
