model,concept,locus,real,real_lo,real_hi,control,control_lo,control_hi,selectivity,sel_lo,sel_hi,n_test_patients
lingshu7b,Effusion,connector,0.8071336266576413,0.7824793077658159,0.8296627286249888,0.7243767122826997,0.695448510855442,0.7516928254817218,0.08275691437494159,0.04507024810525203,0.12168659952781448,1659
lingshu7b,Atelectasis,connector,0.749119323011526,0.7255296583028406,0.7726097791590559,0.693079428069217,0.6629583415433618,0.7227140800653501,0.05603989494230899,0.01815827184556105,0.09480792777743374,1659
lingshu7b,Pneumothorax,connector,0.8191194389655928,0.7837758154031974,0.8489958079804834,0.7248297297010151,0.6938623811771477,0.7523942986829402,0.09428970926457769,0.04708204050304789,0.1393766192049713,1659
lingshu7b,Consolidation,connector,0.7242439257743262,0.6909642248524234,0.7545368180962368,0.6373804989844011,0.6075549914302847,0.6674444400661435,0.08686342678992509,0.042962529473777385,0.12692933316697375,1659
lingshu7b,Cardiomegaly,connector,0.8678763068018185,0.8294341399349273,0.8949984721055699,0.7301801787138462,0.6930229800791606,0.7654590181568542,0.13769612808797227,0.08412038243242306,0.18293658675987504,1659
lingshu7b,Infiltration,connector,0.7356819380349203,0.7133789633376707,0.7559716300776687,0.6336689139333006,0.6034124395628117,0.6653167192066406,0.10201302410161972,0.06114985513597464,0.14029080553797682,1659
lingshu7b,Mass,connector,0.6698393694178926,0.6301059448140149,0.7101391198275422,0.6874764442781851,0.6566046238304496,0.7175027321003136,-0.017637074860292534,-0.06884622863460782,0.03346445744427372,1659
lingshu7b,Nodule,connector,0.6394236946121814,0.6040672786282724,0.6739911579596777,0.7810038935038937,0.7568272324083241,0.8040608532500894,-0.14158019889171225,-0.184248071027418,-0.10023085461759555,1659
lingshu7b,Edema,connector,0.8408416237899685,0.7971803467023448,0.8787129915528707,0.6401610289761118,0.6099013073855707,0.6697343451494012,0.2006805948138567,0.14857372895441073,0.25112420299883065,1659
lingshu7b,Effusion,llm.L10.ans,0.7853952186086582,0.7602653916027741,0.8089695771900147,0.66636409799974,0.6379897155837991,0.6923715043227427,0.1190311206089183,0.08071657182051364,0.1564411508615627,1659
lingshu7b,Atelectasis,llm.L10.ans,0.7074950166653007,0.68312480104783,0.7306950757323306,0.6652029680620559,0.6359417004057015,0.6960468441063015,0.04229204860324476,0.004167134711883807,0.0796300018773904,1659
lingshu7b,Pneumothorax,llm.L10.ans,0.7811615165461319,0.748207381130808,0.8072138136403363,0.7078842492184607,0.6789767872089163,0.7352940925780546,0.07327726732767115,0.0312197396357662,0.11159096220430312,1659
lingshu7b,Consolidation,llm.L10.ans,0.7109931064111299,0.6790244362483233,0.7420738725765968,0.6030038868808434,0.5721623711179594,0.6313473874069616,0.1079892195302865,0.06349760907301848,0.14970925395894025,1659
lingshu7b,Cardiomegaly,llm.L10.ans,0.8031250165641604,0.7599245686539454,0.8333105038816981,0.7140156903595436,0.6779158901612539,0.7491634421503328,0.08910932620461676,0.03070268937050071,0.1358068840015954,1659
lingshu7b,Infiltration,llm.L10.ans,0.7304163528878256,0.7060942942520838,0.7515128942467828,0.5864579049496778,0.5585115310769326,0.6148613340661159,0.14395844793814783,0.10541686484140678,0.1790055793038312,1659
lingshu7b,Mass,llm.L10.ans,0.621433886433789,0.5808451419946673,0.6598307860283523,0.6704329141468013,0.6409455754529012,0.6993075149564596,-0.04899902771301223,-0.09674887242377364,-0.0016143664611034444,1659
lingshu7b,Nodule,llm.L10.ans,0.6263499777050567,0.5923985407452695,0.6596895404426144,0.7166297791297791,0.6918932740381325,0.7415191119058365,-0.09027980142472236,-0.13319821864456333,-0.04894247404802899,1659
lingshu7b,Edema,llm.L10.ans,0.8228193466586466,0.78993508981314,0.8525043980474406,0.5796789845916422,0.5465359643132767,0.6144789346142058,0.2431403620670044,0.19305819047935954,0.28803223381902576,1659
lingshu7b,Effusion,llm.L16.ans,0.8324586935786591,0.8089754032582408,0.8542627461050599,0.6625736757973464,0.6347967093495865,0.6880786358292806,0.1698850177813127,0.1329938764476951,0.20580475182220165,1659
lingshu7b,Atelectasis,llm.L16.ans,0.7678795546798644,0.7458287727151633,0.788298343005917,0.6711637175217843,0.6403545696728663,0.7030018219948486,0.09671583715808008,0.05854878110130094,0.1347722491942871,1659
lingshu7b,Pneumothorax,llm.L16.ans,0.853616480385711,0.8257401921340466,0.8776605791332845,0.6909864349438098,0.6610301303964807,0.7185103773410275,0.16263004544190118,0.12253455527208107,0.20270190667857596,1659
lingshu7b,Consolidation,llm.L16.ans,0.7411570054070723,0.7092962064224683,0.7700919705305513,0.6194716695221756,0.593018394462336,0.6463805732707371,0.12168533588489672,0.0755242350561516,0.16049775306382427,1659
lingshu7b,Cardiomegaly,llm.L16.ans,0.8809412330095887,0.8495601291330303,0.9049747202781889,0.6887691856963818,0.6495990172713785,0.7286177952699613,0.19217204731320692,0.14403971826202958,0.23490078974757986,1659
lingshu7b,Infiltration,llm.L16.ans,0.7299367073023091,0.7052876508150158,0.7523667270364031,0.6043636860319586,0.5757907268341121,0.6334524609052906,0.12557302127035053,0.0866154220274219,0.16257935929030126,1659
lingshu7b,Mass,llm.L16.ans,0.7304013817777518,0.6946397068807597,0.7633262779788151,0.6702252306143781,0.642068448096999,0.6971679760685118,0.060176151163373715,0.015112624458181905,0.10449122852115461,1659
lingshu7b,Nodule,llm.L16.ans,0.6754229426301988,0.6444753153891508,0.704767885476469,0.7264272389272389,0.7035675923501732,0.7483154355684136,-0.051004296297040175,-0.09094489921925633,-0.013622658828903227,1659
lingshu7b,Edema,llm.L16.ans,0.8628125960127915,0.8309852780500382,0.8906212642403522,0.6115723837471816,0.5814394874015619,0.6412604229537255,0.2512402122656099,0.20420285175473898,0.29527522281481483,1659
lingshu7b,Effusion,llm.L18.ans,0.8247247776991476,0.7993561433600922,0.8472493598042886,0.6660932434613781,0.6381925388052934,0.6916478630472609,0.15863153423776954,0.12219225367611763,0.19683005556782468,1659
lingshu7b,Atelectasis,llm.L18.ans,0.7577157870282257,0.7336673859390345,0.7804187785085123,0.662057009095811,0.6305369514960244,0.6937646490069005,0.09565877793241473,0.05484308915485185,0.13428749207726232,1659
lingshu7b,Pneumothorax,llm.L18.ans,0.870725399956169,0.8437231608177601,0.8928514937439638,0.6958330258480062,0.6633502102275003,0.7237125796795657,0.17489237410816283,0.13643858811554946,0.21378002528045165,1659
lingshu7b,Consolidation,llm.L18.ans,0.7354903198514537,0.7001694369501006,0.767254404611678,0.6192600688635879,0.5903871090290226,0.647426954764748,0.11623025098786588,0.07255065075142121,0.1550718041132721,1659
lingshu7b,Cardiomegaly,llm.L18.ans,0.87876183122755,0.8423283175921993,0.9057300241099073,0.6887612103061573,0.6523392831672586,0.7246856648544542,0.1900006209213927,0.1428030014387945,0.23125213736780045,1659
lingshu7b,Infiltration,llm.L18.ans,0.7221210492080462,0.6959768955607942,0.7432646760081004,0.6014625296373444,0.5753827696068649,0.6278977721491156,0.12065851957070184,0.08251820044624393,0.15654968279299247,1659
lingshu7b,Mass,llm.L18.ans,0.7247849354211415,0.695344681357694,0.7536262131219845,0.6671585634983624,0.6390849892874709,0.6934144934662946,0.057626371922779085,0.01871779872859836,0.09702009220139035,1659
lingshu7b,Nodule,llm.L18.ans,0.6792730714874129,0.6463049107212362,0.7112839003765743,0.7241249366249366,0.7007105411663584,0.7472872649751576,-0.044851865137523705,-0.08461701108204238,-0.007571491031805776,1659
lingshu7b,Edema,llm.L18.ans,0.8393389559866545,0.7970381483166129,0.8740042998475451,0.5972216205977301,0.5680121643752011,0.6279133395378281,0.24211733538892444,0.1908074274810301,0.290792027576051,1659
lingshu7b,Effusion,llm.L20.vis,0.8233454355250609,0.7978055998912914,0.8456531918122342,0.7004201678317288,0.6722230846556145,0.7272974808911801,0.12292526769333212,0.08334317453614716,0.16397934984662946,1659
lingshu7b,Atelectasis,llm.L20.vis,0.7597534849477217,0.7371266265246738,0.7819227101633628,0.6924424240966107,0.6608367653391246,0.7233816996057454,0.06731106085111094,0.030037455820680164,0.10375962683390064,1659
lingshu7b,Pneumothorax,llm.L20.vis,0.8589011615165462,0.8290919831147495,0.8816944339101046,0.7282763411074238,0.6986944789969878,0.7561603449108555,0.13062482040912238,0.09075479527915314,0.1680363474751171,1659
lingshu7b,Consolidation,llm.L20.vis,0.7354778004298774,0.7033173699841158,0.7654661972970093,0.6297270702533844,0.5997174404120994,0.6602246420625703,0.10575073017649306,0.06196687310224323,0.1462359310515928,1659
lingshu7b,Cardiomegaly,llm.L20.vis,0.896640523268449,0.8651497275302674,0.9205120735280308,0.7331466983512102,0.6940117213090566,0.7712499587919621,0.16349382491723885,0.11410695793518706,0.2055960737862788,1659
lingshu7b,Infiltration,llm.L20.vis,0.7266017597606594,0.7029328346372345,0.7473423026971552,0.6180693896154605,0.5877120016456218,0.6477898414398294,0.1085323701451989,0.06785464560639712,0.14613443989985428,1659
lingshu7b,Mass,llm.L20.vis,0.7451217058941862,0.7061614631891788,0.7804499765264148,0.6904630710875876,0.6620985921011084,0.7183454566401591,0.054658634806598605,0.006346089771354835,0.10262493213280227,1659
lingshu7b,Nodule,llm.L20.vis,0.6817429922081063,0.6429159475184116,0.7185597706200081,0.7561535561535562,0.7297459124805826,0.7806454940743539,-0.07441056394544987,-0.11864691149685345,-0.02759524390699628,1659
lingshu7b,Edema,llm.L20.vis,0.8468663588487553,0.8141734221955644,0.8756495505122451,0.6228812314939286,0.5915566520986608,0.6551525986268449,0.22398512735482667,0.17778906972075034,0.26735491670343403,1659
lingshu7b,Effusion,llm.L21.ans,0.8308464354942925,0.8059097729098785,0.8524950476321335,0.6450070845346403,0.6179823450817192,0.6713920008415694,0.1858393509596522,0.14608631688006346,0.22277271660467302,1659
lingshu7b,Atelectasis,llm.L21.ans,0.7656261323836494,0.7431482985130966,0.7870648669856457,0.6672444660191427,0.6389388841778314,0.6963528387383173,0.09838166636450674,0.062323180221901246,0.133691797727481,1659
lingshu7b,Pneumothorax,llm.L21.ans,0.8627394258163489,0.8352474464920746,0.885033587384588,0.7028910703676702,0.6741680788347455,0.7298627184191865,0.1598483554486787,0.12305639607227034,0.1963578660237894,1659
lingshu7b,Consolidation,llm.L21.ans,0.7521734374773498,0.7178551164082434,0.7822455315426798,0.6086582720973852,0.5796331106385252,0.6368448248237455,0.14351516537996456,0.09925408771778844,0.1826030866235811,1659
lingshu7b,Cardiomegaly,llm.L21.ans,0.8761928403957024,0.845217769696918,0.9005749742865946,0.6815527596477807,0.6413121873039206,0.7210230560550053,0.19464008074792172,0.1463404013356725,0.23632281853388,1659
lingshu7b,Infiltration,llm.L21.ans,0.7276905808892783,0.7041940605512989,0.7490078913127126,0.5990815949308079,0.5746188273923295,0.625863048285586,0.12860898595847037,0.09061759479452858,0.16344765121208285,1659
lingshu7b,Mass,llm.L21.ans,0.7314418249503032,0.7003474682231289,0.7641160587570238,0.6620555024761944,0.6350677627980831,0.6881271045281406,0.06938632247410881,0.02869269852378296,0.1108753847858829,1659
lingshu7b,Nodule,llm.L21.ans,0.6793056636713347,0.6440470137507653,0.7117725283930979,0.7313573313573314,0.7059903625516677,0.7548960745007114,-0.05205166768599667,-0.09514966839253364,-0.012262283672601277,1659
lingshu7b,Edema,llm.L21.ans,0.850048033441661,0.8158559912146184,0.881632216830027,0.5900412832687127,0.5603341104523291,0.6197788629849618,0.2600067501729483,0.21266472593579455,0.3030671542713297,1659
lingshu7b,Effusion,llm.L22.ans,0.8243189440324913,0.7996628946345908,0.8462060642631762,0.6661752144416894,0.6375826090370188,0.6926442594114766,0.15814372959080192,0.11958347046015454,0.19543224887344093,1659
lingshu7b,Atelectasis,llm.L22.ans,0.7707547508468114,0.7490356056060244,0.7913427925829901,0.6771587160286956,0.6468706646139019,0.7069708235962658,0.09359603481811585,0.058059182392193126,0.13052561889590533,1659
lingshu7b,Pneumothorax,llm.L22.ans,0.8616673241288627,0.833288558476892,0.8842378400008636,0.6996868100424086,0.6687044321247434,0.7274960871234906,0.16198051408645409,0.12243402889540544,0.1999214464075291,1659
lingshu7b,Consolidation,llm.L22.ans,0.7525911908078453,0.7200188055793161,0.7802615761041013,0.6139019526514391,0.5858884631785894,0.6417504133420379,0.1386892381564062,0.09647451359471661,0.17918306116453261,1659
lingshu7b,Cardiomegaly,llm.L22.ans,0.8859475848129179,0.8560723783281915,0.9092558615838625,0.6933495011312034,0.652888643558103,0.7325693905467711,0.1925980836817145,0.14466785273267824,0.23496606543185136,1659
lingshu7b,Infiltration,llm.L22.ans,0.7314859368940305,0.7074511198770925,0.7532238193253932,0.6106257952161578,0.5833311226226698,0.637759098833741,0.12086014167787273,0.08203243776568771,0.15604500721997294,1659
lingshu7b,Mass,llm.L22.ans,0.716969714667653,0.6849868413057439,0.7507508145776837,0.669233292498735,0.6424668987940353,0.6950426799055057,0.04773642216891805,0.004608070456298982,0.09154930405282762,1659
lingshu7b,Nodule,llm.L22.ans,0.6725576645480172,0.6404759887767144,0.7041118075549139,0.7430846430846431,0.7201962622727518,0.764603438107895,-0.07052697853662582,-0.10995478067277924,-0.02973608580659032,1659
lingshu7b,Edema,llm.L22.ans,0.8463297690500198,0.8075857000441172,0.8783630616952312,0.6005544571319912,0.5678503955566465,0.6336875056298727,0.2457753119180286,0.19363033135258925,0.2911366872354148,1659
lingshu7b,Effusion,llm.L23.vis,0.825228454509092,0.7997446971607938,0.8482848720522076,0.6987496412893854,0.6703747646272381,0.7264263500446136,0.12647881321970655,0.08965883705006755,0.16555729439512104,1659
lingshu7b,Atelectasis,llm.L23.vis,0.7665581158761625,0.7430395345258918,0.7878765133701723,0.6929397429057063,0.663357733249085,0.7229498301146943,0.07361837297045626,0.035082152737728176,0.10889383452236867,1659
lingshu7b,Pneumothorax,llm.L23.vis,0.8693061582292352,0.8459040713930281,0.8893509356917063,0.7217437734580197,0.6938693374337739,0.7479835329320268,0.14756238477121553,0.11206056263335247,0.18336511473937206,1659
lingshu7b,Consolidation,llm.L23.vis,0.72505637034294,0.6927665165221031,0.7550890563694294,0.6452810525721626,0.6143476301984617,0.673352959357327,0.0797753177707774,0.03773179935656452,0.12023579233131748,1659
lingshu7b,Cardiomegaly,llm.L23.vis,0.8935847669798103,0.8638671990379809,0.9157681418086445,0.7221852569214994,0.6844320325719359,0.7602412637186005,0.1713995100583109,0.12178091434669451,0.2141932613985802,1659
lingshu7b,Infiltration,llm.L23.vis,0.7238364875374226,0.6999701746537206,0.744332722254242,0.6389928721908549,0.6108865825167609,0.6677174764408504,0.0848436153465677,0.04523949221641921,0.12172806855940024,1659
lingshu7b,Mass,llm.L23.vis,0.7367246156741358,0.6975031630790417,0.7743723388090112,0.691847627970408,0.6638229930548478,0.7197238815351507,0.04487698770372783,-0.0032229181348355867,0.09347157285942696,1659
lingshu7b,Nodule,llm.L23.vis,0.6982119644490126,0.6631309244153123,0.7298214467896924,0.760955435955436,0.7359127027505216,0.785303496269802,-0.06274347150642345,-0.10391750754662964,-0.021337237641951272,1659
