model_key,dataset_id,status,modules_complete,modules_ineligible,n_concepts,readable,answer_capable,owned,owned_concepts,readable_concepts,capable_concepts,eligible_templates,primary_template,gpu_hours,altdir_owned_dom_pattern_orth_resid
llava15-13,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,2,0,0,,"Atelectasis, Effusion",,IYWYIAWA,IY,34.183,
llava15-13,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,1,0,,"Cardiomegaly, Consolidation, Edema, Effusion",Edema,IYWYIAWA,IY,10.137,
llava15-13,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,5,5,2,"chair, person","bottle, car, chair, dog, person","bottle, car, chair, dog, person",IYWYIAWA,IY,37.883,
lingshu-7,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,6,1,Cardiomegaly,"Atelectasis, Cardiomegaly, Effusion","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,19.606,
lingshu-7,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,5,3,"Edema, Effusion, Pneumothorax","Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax",IYWYIAIBWAWB,IY,4.804,
lingshu-7,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,1,5,6,"bicycle, bottle, car, chair, dog, person",person,"bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,20.009,
llavamed-7,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,0,0,,"Atelectasis, Effusion, Pneumothorax",,IYWY,IY,19.941,
llavamed-7,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,2,1,Effusion,"Cardiomegaly, Consolidation, Edema, Effusion","Edema, Effusion",IYWY,IY,7.028,
llavamed-7,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,4,5,1,dog,"bottle, car, chair, person","bottle, car, chair, dog, person",IYWY,IY,21.917,
lingshu-32,nih,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,3,6,2,"Cardiomegaly, Pneumothorax","Atelectasis, Effusion, Pneumothorax","Atelectasis, Cardiomegaly, Effusion, Mass, Nodule, Pneumothorax",IYWYIAIBWAWB,IY,73.88,
lingshu-32,chexpert,COMPLETE,CORE+CALIBRATION,,6,4,5,5,"Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax","Cardiomegaly, Consolidation, Edema, Effusion","Cardiomegaly, Consolidation, Edema, Effusion, Pneumothorax",IYWYIAIBWAWB,IY,19.146,
lingshu-32,coco,COMPLETE,CORE+CALIBRATION+PROMPT+DOSE+REFIT+LOCUS+LOCUS_CALIBRATION,,6,1,5,6,"bicycle, bottle, car, chair, dog, person",person,"bottle, car, chair, dog, person",IYWYIAIBWAWB,IY,75.833,
