pair,concept,kind,locus_a,locus_b,sel_a,sel_a_lo,sel_a_hi,sel_b,sel_b_lo,sel_b_hi,gap,width_a,width_b,gap_gt_widths,intervals_disjoint,gap_lo,gap_hi,paired_excludes_zero,gap_p_boot,sel_a_positive,sel_b_positive,stored_peak_a,stored_peak_b,own_peak_matches_stored,gap_bh_sig,bh_family
lingshu7b_vs_qwen7b,Effusion,common,vis.block20,vis.block20,-0.04759612626194831,-0.08150859400367294,-0.0169419108558817,-0.059714542846684315,-0.08965246690363646,-0.02924007195917972,0.012118416584736003,0.06456668314779124,0.060412394944456736,False,False,-0.003945372439920903,0.027826645411550978,False,0.1329335332333833,False,False,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,vis.block24,vis.block24,-0.04734150773906487,-0.08012666992910956,-0.018215840657303296,-0.05835458504807267,-0.0902197082795261,-0.02820349818795781,0.011013077309007802,0.06191082927180627,0.0620162100915683,False,False,-0.006790880393236875,0.028170648962259282,False,0.25687156421789104,False,False,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,vis.block4,vis.block4,-0.06151705291280307,-0.10171617108447574,-0.022519962042391088,-0.059693112441890794,-0.10098506024958752,-0.02100627518160266,-0.0018239404709122775,0.07919620904208466,0.07997878506798486,False,False,-0.016244750982150436,0.01261396901682019,False,0.8275862068965517,False,False,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,vis.block8,vis.block8,-0.0551554210455637,-0.09300462237489013,-0.01814507682746532,-0.049190980645086646,-0.08450931997873157,-0.01670565528349904,-0.005964440400477056,0.0748595455474248,0.06780366469523252,False,False,-0.021840269956737757,0.00835251212120055,False,0.384807596201899,False,False,llm.L21.ans,llm.L22.ans,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Effusion,common,vis.last,vis.last,-0.03120691451294233,-0.06411599916392834,0.0006444375689661799,-0.054029275018218414,-0.08651928443826945,-0.020583520981378188,0.022822360505276085,0.06476043673289451,0.06593576345689126,False,False,0.004105800110846758,0.04050474828109144,True,0.01899050474762619,False,False,llm.L21.ans,llm.L22.ans,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,own_peak,llm.L22.ans,llm.L3.vis,0.18000698136065796,0.1395179192858313,0.21952012864664094,0.12864472616194345,0.09323502703473346,0.16355150658120465,0.05136225519871451,0.08000220936080965,0.07031647954647119,False,False,0.012239409610629082,0.09326811283826826,True,0.008995502248875561,True,True,llm.L21.ans,connector,False,True,lingshu7b_vs_qwen7b:own_peak(n=9)
lingshu7b_vs_qwen7b,Atelectasis,common,connector,connector,0.13526436259431385,0.09817695518061888,0.17159689839817474,0.1189442713315293,0.0807214277597793,0.1559982494900119,0.016320091262784553,0.07341994321755586,0.0752768217302326,False,False,-0.01580873131752014,0.04594771936535834,False,0.32283858070964516,True,True,llm.L21.ans,connector,,False,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,llm.L10.ans,llm.L10.ans,0.12857038961462952,0.09280858467905212,0.16209380082823846,0.061035420375946,0.02524450312884751,0.09593968460817676,0.06753496923868352,0.06928521614918634,0.07069518147932924,False,False,0.03194674700498581,0.10157600697129963,True,0.0009995002498750624,True,True,llm.L21.ans,connector,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,llm.L16.ans,llm.L16.ans,0.1726445485287199,0.13444802302485123,0.21057693629039578,0.09343971736378953,0.05911824113219858,0.12676875161342668,0.07920483116493038,0.07612891326554455,0.06765051048122811,True,True,0.03985677286982536,0.1177492037415504,True,0.0009995002498750624,True,True,llm.L21.ans,connector,,True,lingshu7b_vs_qwen7b:common(n=162)
lingshu7b_vs_qwen7b,Atelectasis,common,llm.L18.ans,llm.L18.ans,0.14972121069263966,0.11215815852951602,0.1859697010894157,0.09778066104797978,0.06569868634017581,0.13019919222444518,0.051940549644659884,0.07381154255989969,0.06450050588426937,False,False,0.01658068709075451,0.08724921625107525,True,0.004997501249375313,True,True,llm.L21.ans,connector,,True,lingshu7b_vs_qwen7b:common(n=162)
