arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
llava15_7b,general,nodule,0.45,1.0409,llm.L16.vis,anatomical,-0.0037,-0.0087,,,
llava15_7b,general,nodule,0.45,1.8587,llm.L24.vis,anatomical,-0.0004,0.0011,,,
llava15_7b,general,nodule,0.6,1.6052,vis.last,anatomical,0.0203,0.0082,,,
llava15_7b,general,nodule,0.6,1.2218,connector,anatomical,0.0003,0.0058,,,
llava15_7b,general,nodule,0.6,1.0964,llm.L8.vis,anatomical,-0.0016,0.0067,,,
llava15_7b,general,nodule,0.6,1.2755,llm.L16.vis,anatomical,-0.0039,0.0207,,,
llava15_7b,general,nodule,0.6,2.2902,llm.L24.vis,anatomical,-0.0001,-0.0153,,,
llavamed7b,medical,consolidation,0.05,0.3342,vis.last,anatomical,-0.0079,-0.035,,,
llavamed7b,medical,consolidation,0.05,0.3112,connector,anatomical,0.0016,-0.0206,,,
llavamed7b,medical,consolidation,0.05,0.3048,llm.L8.vis,anatomical,0.0016,-0.0174,,,
llavamed7b,medical,consolidation,0.05,0.2904,llm.L16.vis,anatomical,0.0027,-0.0123,,,
llavamed7b,medical,consolidation,0.05,0.3141,llm.L24.vis,anatomical,0.0011,-0.0044,,,
llavamed7b,medical,consolidation,0.1,0.3849,vis.last,anatomical,-0.0057,-0.0628,,,
llavamed7b,medical,consolidation,0.1,0.3231,connector,anatomical,0.0021,-0.0121,,,
llavamed7b,medical,consolidation,0.1,0.315,llm.L8.vis,anatomical,0.0026,-0.0081,,,
llavamed7b,medical,consolidation,0.1,0.2994,llm.L16.vis,anatomical,0.003,-0.0144,,,
llavamed7b,medical,consolidation,0.1,0.33,llm.L24.vis,anatomical,-0.0004,0.0003,,,
llavamed7b,medical,consolidation,0.2,0.4919,vis.last,anatomical,0.0171,-0.0635,,,
llavamed7b,medical,consolidation,0.2,0.3813,connector,anatomical,0.0037,0.0092,,,
llavamed7b,medical,consolidation,0.2,0.3697,llm.L8.vis,anatomical,0.0013,0.0129,,,
llavamed7b,medical,consolidation,0.2,0.3534,llm.L16.vis,anatomical,0.0057,0.0117,,,
llavamed7b,medical,consolidation,0.2,0.3995,llm.L24.vis,anatomical,0.0025,0.0219,,,
llavamed7b,medical,consolidation,0.3,0.6785,vis.last,anatomical,0.0204,-0.0397,,,
llavamed7b,medical,consolidation,0.3,0.5096,connector,anatomical,0.0038,0.0089,,,
llavamed7b,medical,consolidation,0.3,0.4909,llm.L8.vis,anatomical,0.0028,0.0129,,,
llavamed7b,medical,consolidation,0.3,0.4692,llm.L16.vis,anatomical,0.0025,0.0086,,,
llavamed7b,medical,consolidation,0.3,0.5329,llm.L24.vis,anatomical,0.0011,0.0167,,,
llavamed7b,medical,consolidation,0.45,1.0036,vis.last,anatomical,0.0304,-0.0107,,,
llavamed7b,medical,consolidation,0.45,0.7157,connector,anatomical,0.0027,-0.0043,,,
llavamed7b,medical,consolidation,0.45,0.6842,llm.L8.vis,anatomical,0.002,0.0004,,,
llavamed7b,medical,consolidation,0.45,0.6519,llm.L16.vis,anatomical,0.0005,-0.0026,,,
llavamed7b,medical,consolidation,0.45,0.7382,llm.L24.vis,anatomical,-0.0015,-0.0014,,,
llavamed7b,medical,consolidation,0.6,1.3091,vis.last,anatomical,0.0382,0.0047,,,
llavamed7b,medical,consolidation,0.6,0.8629,connector,anatomical,0.0029,-0.0142,,,
llavamed7b,medical,consolidation,0.6,0.8208,llm.L8.vis,anatomical,0.0019,-0.0102,,,
llavamed7b,medical,consolidation,0.6,0.7787,llm.L16.vis,anatomical,0.0017,-0.0122,,,
llavamed7b,medical,consolidation,0.6,0.8834,llm.L24.vis,anatomical,-0.0004,-0.0135,,,
llavamed7b,medical,effusion,0.05,0.4651,vis.last,anatomical,-0.0212,-0.0576,nan,nan,nan
llavamed7b,medical,effusion,0.05,0.4007,connector,anatomical,-0.0006,0.0217,0.0109,0.0262,-0.0141
llavamed7b,medical,effusion,0.05,0.3895,llm.L8.vis,anatomical,-0.0003,-0.0118,0.0222,nan,0.0066
llavamed7b,medical,effusion,0.05,0.3691,llm.L16.vis,anatomical,0.0005,0.0021,0.0207,nan,0.01
llavamed7b,medical,effusion,0.05,0.4026,llm.L24.vis,anatomical,0.0014,-0.003,0.0276,nan,0.0015
llavamed7b,medical,effusion,0.1,0.6499,vis.last,anatomical,-0.0243,-0.0134,nan,nan,nan
llavamed7b,medical,effusion,0.1,0.5365,connector,anatomical,-0.001,0.0081,0.0103,0.0287,0.0117
llavamed7b,medical,effusion,0.1,0.5157,llm.L8.vis,anatomical,-0.0016,-0.007,0.0204,nan,0.0001
llavamed7b,medical,effusion,0.1,0.4892,llm.L16.vis,anatomical,-0.0001,0.0087,0.0145,nan,-0.0062
llavamed7b,medical,effusion,0.1,0.5435,llm.L24.vis,anatomical,0.0006,-0.0095,0.0242,nan,0.0117
llavamed7b,medical,effusion,0.2,0.9875,vis.last,anatomical,-0.0042,-0.0026,nan,nan,nan
llavamed7b,medical,effusion,0.2,0.732,connector,anatomical,-0.0006,-0.003,0.0039,0.0073,0.0396
llavamed7b,medical,effusion,0.2,0.6996,llm.L8.vis,anatomical,-0.001,0.0043,0.0107,nan,-0.0189
llavamed7b,medical,effusion,0.2,0.6663,llm.L16.vis,anatomical,0.0009,0.0099,-0.0022,nan,-0.0114
llavamed7b,medical,effusion,0.2,0.7472,llm.L24.vis,anatomical,-0.0015,-0.0088,0.0089,nan,0.0071
llavamed7b,medical,effusion,0.3,1.2553,vis.last,anatomical,0.0077,-0.0379,nan,nan,nan
llavamed7b,medical,effusion,0.3,0.8155,connector,anatomical,-0.0005,-0.0057,0.0025,0.0056,0.04
llavamed7b,medical,effusion,0.3,0.7716,llm.L8.vis,anatomical,-0.0006,0.0031,0.0088,nan,-0.0194
llavamed7b,medical,effusion,0.3,0.734,llm.L16.vis,anatomical,0.0008,0.0137,-0.0022,nan,-0.0092
llavamed7b,medical,effusion,0.3,0.85,llm.L24.vis,anatomical,-0.0014,-0.0106,0.0074,nan,0.0043
llavamed7b,medical,effusion,0.45,1.5247,vis.last,anatomical,0.0127,-0.0415,nan,nan,nan
llavamed7b,medical,effusion,0.45,0.9506,connector,anatomical,-0.0002,-0.0051,-0.0001,0.0067,0.0396
llavamed7b,medical,effusion,0.45,0.8958,llm.L8.vis,anatomical,-0.0001,0.0008,0.0088,nan,-0.0158
llavamed7b,medical,effusion,0.45,0.8517,llm.L16.vis,anatomical,0.0008,0.0126,-0.0021,nan,-0.0035
llavamed7b,medical,effusion,0.45,0.9898,llm.L24.vis,anatomical,-0.0004,-0.0117,0.0089,nan,0.0061
llavamed7b,medical,effusion,0.6,1.727,vis.last,anatomical,0.0125,0.0159,nan,nan,nan
llavamed7b,medical,effusion,0.6,1.0333,connector,anatomical,0.0001,0.0036,-0.0006,0.0132,0.0361
llavamed7b,medical,effusion,0.6,0.9729,llm.L8.vis,anatomical,0.0004,-0.0063,0.0125,nan,-0.0121
llavamed7b,medical,effusion,0.6,0.9232,llm.L16.vis,anatomical,0.0017,0.013,0.0036,nan,0.003
llavamed7b,medical,effusion,0.6,1.081,llm.L24.vis,anatomical,0.0005,-0.0122,0.012,nan,0.0078
llavamed7b,medical,nodule,0.05,0.2704,vis.last,anatomical,-0.0015,0.0017,,,
llavamed7b,medical,nodule,0.05,0.2296,connector,anatomical,0.0038,-0.0121,,,
llavamed7b,medical,nodule,0.05,0.2251,llm.L8.vis,anatomical,0.0035,-0.0069,,,
llavamed7b,medical,nodule,0.05,0.2147,llm.L16.vis,anatomical,0.004,0.0121,,,
llavamed7b,medical,nodule,0.05,0.2355,llm.L24.vis,anatomical,0.0065,-0.0003,,,
llavamed7b,medical,nodule,0.1,0.3119,vis.last,anatomical,-0.0053,0.0429,,,
llavamed7b,medical,nodule,0.1,0.2692,connector,anatomical,0.0022,0.0019,,,
llavamed7b,medical,nodule,0.1,0.2631,llm.L8.vis,anatomical,0.0038,-0.008,,,
llavamed7b,medical,nodule,0.1,0.2504,llm.L16.vis,anatomical,0.0033,0.0046,,,
llavamed7b,medical,nodule,0.1,0.2771,llm.L24.vis,anatomical,0.0087,-0.0281,,,
llavamed7b,medical,nodule,0.2,0.4178,vis.last,anatomical,0.0064,-0.0109,,,
llavamed7b,medical,nodule,0.2,0.3127,connector,anatomical,0.0025,-0.0311,,,
llavamed7b,medical,nodule,0.2,0.3028,llm.L8.vis,anatomical,0.0024,-0.0174,,,
llavamed7b,medical,nodule,0.2,0.2901,llm.L16.vis,anatomical,0.0042,0.0057,,,
llavamed7b,medical,nodule,0.2,0.329,llm.L24.vis,anatomical,0.0038,-0.0116,,,
llavamed7b,medical,nodule,0.3,0.6489,vis.last,anatomical,0.002,-0.0421,,,
llavamed7b,medical,nodule,0.3,0.4355,connector,anatomical,0.002,0.0112,,,
llavamed7b,medical,nodule,0.3,0.4164,llm.L8.vis,anatomical,0.0006,0.0024,,,
llavamed7b,medical,nodule,0.3,0.4003,llm.L16.vis,anatomical,0.0021,0.012,,,
llavamed7b,medical,nodule,0.3,0.463,llm.L24.vis,anatomical,0.0027,0.0123,,,
llavamed7b,medical,nodule,0.45,1.1074,vis.last,anatomical,0.007,-0.0036,,,
llavamed7b,medical,nodule,0.45,0.6896,connector,anatomical,0.0004,-0.0089,,,
llavamed7b,medical,nodule,0.45,0.6507,llm.L8.vis,anatomical,0.0,-0.0175,,,
llavamed7b,medical,nodule,0.45,0.6192,llm.L16.vis,anatomical,0.0006,0.0023,,,
llavamed7b,medical,nodule,0.45,0.7212,llm.L24.vis,anatomical,0.0003,-0.0121,,,
llavamed7b,medical,nodule,0.6,1.5172,vis.last,anatomical,0.0139,0.0061,,,
llavamed7b,medical,nodule,0.6,0.9558,connector,anatomical,0.0001,-0.0121,,,
llavamed7b,medical,nodule,0.6,0.897,llm.L8.vis,anatomical,-0.0001,-0.0137,,,
llavamed7b,medical,nodule,0.6,0.8401,llm.L16.vis,anatomical,0.0005,-0.0123,,,
llavamed7b,medical,nodule,0.6,0.9705,llm.L24.vis,anatomical,0.0001,-0.001,,,
qwen7b,general,consolidation,0.05,33.6754,vis.last,anatomical,0.0007,0.0157,,,
qwen7b,general,consolidation,0.05,0.3002,connector,anatomical,0.0052,-0.0072,,,
qwen7b,general,consolidation,0.05,0.4899,llm.L7.vis,anatomical,-0.0051,-0.0082,,,
qwen7b,general,consolidation,0.05,1.0117,llm.L14.vis,anatomical,0.0078,-0.0006,,,
qwen7b,general,consolidation,0.05,2.2899,llm.L21.vis,anatomical,-0.0068,0.0152,,,
qwen7b,general,consolidation,0.1,59.2997,vis.last,anatomical,0.0004,-0.0127,,,
qwen7b,general,consolidation,0.1,0.447,connector,anatomical,0.0042,0.0096,,,
qwen7b,general,consolidation,0.1,0.6893,llm.L7.vis,anatomical,-0.0022,0.0019,,,
qwen7b,general,consolidation,0.1,1.3722,llm.L14.vis,anatomical,-0.0002,0.0073,,,
qwen7b,general,consolidation,0.1,2.9874,llm.L21.vis,anatomical,0.0068,0.0058,,,
qwen7b,general,consolidation,0.2,68.0714,vis.last,anatomical,0.0044,-0.0111,,,
qwen7b,general,consolidation,0.2,0.7035,connector,anatomical,-0.0002,0.0105,,,
qwen7b,general,consolidation,0.2,1.0105,llm.L7.vis,anatomical,-0.0016,-0.0078,,,
qwen7b,general,consolidation,0.2,1.8358,llm.L14.vis,anatomical,0.0057,0.0108,,,
qwen7b,general,consolidation,0.2,3.8062,llm.L21.vis,anatomical,0.0085,0.0042,,,
qwen7b,general,consolidation,0.3,81.3426,vis.last,anatomical,-0.0003,-0.0135,,,
qwen7b,general,consolidation,0.3,1.0257,connector,anatomical,-0.0002,0.0097,,,
qwen7b,general,consolidation,0.3,1.3783,llm.L7.vis,anatomical,-0.0014,-0.011,,,
qwen7b,general,consolidation,0.3,2.3672,llm.L14.vis,anatomical,0.0018,0.0097,,,
qwen7b,general,consolidation,0.3,4.8735,llm.L21.vis,anatomical,0.0082,-0.002,,,
qwen7b,general,consolidation,0.45,108.7044,vis.last,anatomical,-0.0007,-0.0138,,,
qwen7b,general,consolidation,0.45,1.6376,connector,anatomical,-0.0002,0.0084,,,
qwen7b,general,consolidation,0.45,2.02,llm.L7.vis,anatomical,0.0015,-0.007,,,
qwen7b,general,consolidation,0.45,3.3007,llm.L14.vis,anatomical,0.0015,0.016,,,
qwen7b,general,consolidation,0.45,6.5111,llm.L21.vis,anatomical,0.0047,-0.0072,,,
qwen7b,general,consolidation,0.6,138.6407,vis.last,anatomical,-0.0008,-0.0134,,,
qwen7b,general,consolidation,0.6,2.2713,connector,anatomical,-0.0,0.0102,,,
qwen7b,general,consolidation,0.6,2.6749,llm.L7.vis,anatomical,0.0024,-0.0026,,,
qwen7b,general,consolidation,0.6,4.2732,llm.L14.vis,anatomical,0.0003,0.0232,,,
qwen7b,general,consolidation,0.6,8.0794,llm.L21.vis,anatomical,0.0036,-0.0074,,,
qwen7b,general,effusion,0.05,72.544,vis.last,anatomical,0.0043,0.006,nan,nan,nan
qwen7b,general,effusion,0.05,0.5329,connector,anatomical,0.0018,-0.0087,0.0171,0.0269,-0.0046
qwen7b,general,effusion,0.05,0.8273,llm.L7.vis,anatomical,-0.0008,-0.0108,0.0013,nan,0.0015
qwen7b,general,effusion,0.05,1.573,llm.L14.vis,anatomical,-0.0058,-0.012,-0.041,nan,-0.0098
qwen7b,general,effusion,0.05,3.5232,llm.L21.vis,anatomical,0.0026,-0.0032,0.0132,nan,-0.0254
qwen7b,general,effusion,0.1,95.5251,vis.last,anatomical,0.0015,0.0001,nan,nan,nan
qwen7b,general,effusion,0.1,0.8765,connector,anatomical,-0.0011,-0.0093,0.0281,0.0395,-0.0093
qwen7b,general,effusion,0.1,1.2347,llm.L7.vis,anatomical,-0.003,-0.0012,0.0212,nan,-0.0
qwen7b,general,effusion,0.1,2.1513,llm.L14.vis,anatomical,-0.0054,-0.0214,0.0135,nan,-0.0324
qwen7b,general,effusion,0.1,4.407,llm.L21.vis,anatomical,0.0107,0.0019,0.0245,nan,0.0229
qwen7b,general,effusion,0.2,94.418,vis.last,anatomical,0.0011,0.0132,nan,nan,nan
qwen7b,general,effusion,0.2,1.5921,connector,anatomical,-0.0011,-0.0003,0.0262,0.0473,-0.0146
qwen7b,general,effusion,0.2,2.0301,llm.L7.vis,anatomical,-0.0066,0.0165,0.0275,nan,-0.0094
qwen7b,general,effusion,0.2,3.1914,llm.L14.vis,anatomical,-0.0025,-0.0217,0.0434,nan,-0.0118
qwen7b,general,effusion,0.2,5.9835,llm.L21.vis,anatomical,0.0012,-0.0101,0.0743,nan,0.0034
qwen7b,general,effusion,0.3,133.6038,vis.last,anatomical,-0.0002,0.0198,nan,nan,nan
qwen7b,general,effusion,0.3,2.3546,connector,anatomical,-0.001,0.0026,0.0211,0.0467,-0.0125
qwen7b,general,effusion,0.3,2.8409,llm.L7.vis,anatomical,-0.0058,0.0229,0.0295,nan,-0.0197
qwen7b,general,effusion,0.3,4.2397,llm.L14.vis,anatomical,-0.0017,-0.0172,0.0475,nan,-0.003
qwen7b,general,effusion,0.3,7.6766,llm.L21.vis,anatomical,0.0014,-0.016,0.0838,nan,0.0028
qwen7b,general,effusion,0.45,177.6557,vis.last,anatomical,-0.0003,-0.0031,nan,nan,nan
qwen7b,general,effusion,0.45,3.3528,connector,anatomical,-0.0009,0.0062,0.0135,0.0415,-0.0082
qwen7b,general,effusion,0.45,3.9434,llm.L7.vis,anatomical,-0.0064,0.0244,0.026,nan,-0.0265
qwen7b,general,effusion,0.45,5.7438,llm.L14.vis,anatomical,0.0011,-0.0102,0.04,nan,0.0042
qwen7b,general,effusion,0.45,10.1092,llm.L21.vis,anatomical,0.0018,-0.0175,0.0853,nan,0.0108
qwen7b,general,effusion,0.6,201.8368,vis.last,anatomical,-0.0006,-0.0253,nan,nan,nan
qwen7b,general,effusion,0.6,4.249,connector,anatomical,-0.0015,0.0082,0.0064,0.0343,-0.0059
qwen7b,general,effusion,0.6,4.9549,llm.L7.vis,anatomical,-0.0065,0.0244,0.021,nan,-0.0312
qwen7b,general,effusion,0.6,7.1073,llm.L14.vis,anatomical,0.0022,-0.0018,0.0329,nan,0.0032
qwen7b,general,effusion,0.6,12.2731,llm.L21.vis,anatomical,0.0018,-0.0202,0.08,nan,0.0176
qwen7b,general,nodule,0.05,32.7959,vis.last,anatomical,0.0005,-0.0127,,,
qwen7b,general,nodule,0.05,0.2512,connector,anatomical,-0.0001,0.0073,,,
qwen7b,general,nodule,0.05,0.4218,llm.L7.vis,anatomical,0.0011,-0.0026,,,
qwen7b,general,nodule,0.05,0.895,llm.L14.vis,anatomical,-0.0001,-0.0266,,,
qwen7b,general,nodule,0.05,2.0461,llm.L21.vis,anatomical,0.0025,-0.0252,,,
qwen7b,general,nodule,0.1,41.2846,vis.last,anatomical,0.0022,-0.0132,,,
qwen7b,general,nodule,0.1,0.3704,connector,anatomical,0.0007,0.0062,,,
qwen7b,general,nodule,0.1,0.5876,llm.L7.vis,anatomical,0.0045,-0.0145,,,
qwen7b,general,nodule,0.1,1.1531,llm.L14.vis,anatomical,0.005,-0.0252,,,
qwen7b,general,nodule,0.1,2.5319,llm.L21.vis,anatomical,0.0014,-0.0147,,,
qwen7b,general,nodule,0.2,63.7319,vis.last,anatomical,0.0073,-0.0144,,,
qwen7b,general,nodule,0.2,0.6339,connector,anatomical,0.0037,0.0018,,,
qwen7b,general,nodule,0.2,0.9061,llm.L7.vis,anatomical,0.0011,-0.0175,,,
qwen7b,general,nodule,0.2,1.6298,llm.L14.vis,anatomical,0.0027,-0.0047,,,
qwen7b,general,nodule,0.2,3.334,llm.L21.vis,anatomical,0.0085,0.0009,,,
qwen7b,general,nodule,0.3,71.8348,vis.last,anatomical,0.0115,-0.0147,,,
qwen7b,general,nodule,0.3,1.1407,connector,anatomical,0.0029,0.005,,,
qwen7b,general,nodule,0.3,1.5136,llm.L7.vis,anatomical,-0.0012,-0.0107,,,
qwen7b,general,nodule,0.3,2.5104,llm.L14.vis,anatomical,0.0047,0.0149,,,
qwen7b,general,nodule,0.3,4.6745,llm.L21.vis,anatomical,0.0019,0.0074,,,
qwen7b,general,nodule,0.45,101.1471,vis.last,anatomical,0.0018,-0.0154,,,
qwen7b,general,nodule,0.45,1.9494,connector,anatomical,0.001,0.0155,,,
qwen7b,general,nodule,0.45,2.4885,llm.L7.vis,anatomical,-0.0054,0.0001,,,
qwen7b,general,nodule,0.45,4.1359,llm.L14.vis,anatomical,0.0015,0.0202,,,
qwen7b,general,nodule,0.45,7.1926,llm.L21.vis,anatomical,-0.0027,-0.0069,,,
qwen7b,general,nodule,0.6,129.805,vis.last,anatomical,0.0004,-0.0147,,,
qwen7b,general,nodule,0.6,2.5713,connector,anatomical,-0.0002,0.0201,,,
qwen7b,general,nodule,0.6,3.2144,llm.L7.vis,anatomical,-0.0081,0.0033,,,
qwen7b,general,nodule,0.6,5.4257,llm.L14.vis,anatomical,-0.0013,0.0187,,,
qwen7b,general,nodule,0.6,9.3395,llm.L21.vis,anatomical,-0.0062,-0.0112,,,
