arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
internvl3_8b,general,effusion,0.45,0.9215,connector,anatomical,0.0012,0.0034,0.0936,0.1446,0.0171
internvl3_8b,general,effusion,0.45,1.7625,llm.L7.vis,anatomical,-0.0038,0.027,0.0637,nan,-0.0014
internvl3_8b,general,effusion,0.45,2.5371,llm.L14.vis,anatomical,0.0016,0.0027,0.0747,nan,0.0
internvl3_8b,general,effusion,0.45,4.466,llm.L21.vis,anatomical,0.0009,-0.0152,0.0403,nan,-0.0129
internvl3_8b,general,effusion,0.6,1.3526,vis.last,anatomical,0.0017,-0.0512,nan,nan,nan
internvl3_8b,general,effusion,0.6,1.1023,connector,anatomical,0.0017,0.0074,0.0877,0.141,0.0167
internvl3_8b,general,effusion,0.6,2.119,llm.L7.vis,anatomical,-0.0036,0.0302,0.0589,nan,0.0023
internvl3_8b,general,effusion,0.6,3.1027,llm.L14.vis,anatomical,0.0023,0.0058,0.066,nan,-0.001
internvl3_8b,general,effusion,0.6,5.4412,llm.L21.vis,anatomical,0.0008,-0.0173,0.0421,nan,-0.014
internvl3_8b,general,nodule,0.05,0.0589,vis.last,anatomical,0.0002,-0.0136,,,
internvl3_8b,general,nodule,0.05,0.058,connector,anatomical,0.0012,-0.0099,,,
internvl3_8b,general,nodule,0.05,0.1203,llm.L7.vis,anatomical,0.0054,-0.0001,,,
internvl3_8b,general,nodule,0.05,0.223,llm.L14.vis,anatomical,-0.0001,0.0076,,,
internvl3_8b,general,nodule,0.05,0.4971,llm.L21.vis,anatomical,0.0058,-0.0016,,,
internvl3_8b,general,nodule,0.1,0.0934,vis.last,anatomical,0.0175,-0.0469,,,
internvl3_8b,general,nodule,0.1,0.0913,connector,anatomical,0.0052,-0.0109,,,
internvl3_8b,general,nodule,0.1,0.1797,llm.L7.vis,anatomical,0.0048,-0.0104,,,
internvl3_8b,general,nodule,0.1,0.312,llm.L14.vis,anatomical,0.0046,0.0302,,,
internvl3_8b,general,nodule,0.1,0.6378,llm.L21.vis,anatomical,0.0106,-0.014,,,
internvl3_8b,general,nodule,0.2,0.2176,vis.last,anatomical,0.0167,0.0387,,,
internvl3_8b,general,nodule,0.2,0.2064,connector,anatomical,0.0033,-0.033,,,
internvl3_8b,general,nodule,0.2,0.3975,llm.L7.vis,anatomical,0.004,0.0261,,,
internvl3_8b,general,nodule,0.2,0.6868,llm.L14.vis,anatomical,0.0032,0.0059,,,
internvl3_8b,general,nodule,0.2,1.2138,llm.L21.vis,anatomical,0.0039,-0.004,,,
internvl3_8b,general,nodule,0.3,0.406,vis.last,anatomical,0.008,-0.0098,,,
internvl3_8b,general,nodule,0.3,0.3724,connector,anatomical,0.0023,-0.0092,,,
internvl3_8b,general,nodule,0.3,0.7156,llm.L7.vis,anatomical,0.0013,-0.0141,,,
internvl3_8b,general,nodule,0.3,1.3555,llm.L14.vis,anatomical,0.0004,0.0285,,,
internvl3_8b,general,nodule,0.3,2.3456,llm.L21.vis,anatomical,0.0026,-0.0104,,,
internvl3_8b,general,nodule,0.45,0.6594,vis.last,anatomical,-0.0011,0.0207,,,
internvl3_8b,general,nodule,0.45,0.5904,connector,anatomical,0.0016,0.0062,,,
internvl3_8b,general,nodule,0.45,1.1576,llm.L7.vis,anatomical,-0.0023,-0.0303,,,
internvl3_8b,general,nodule,0.45,2.4122,llm.L14.vis,anatomical,-0.0019,0.0088,,,
internvl3_8b,general,nodule,0.45,4.0548,llm.L21.vis,anatomical,0.0022,-0.0147,,,
internvl3_8b,general,nodule,0.6,0.8453,vis.last,anatomical,-0.0075,-0.0711,,,
internvl3_8b,general,nodule,0.6,0.7557,connector,anatomical,0.001,0.0109,,,
internvl3_8b,general,nodule,0.6,1.5078,llm.L7.vis,anatomical,-0.0047,-0.0001,,,
internvl3_8b,general,nodule,0.6,3.1766,llm.L14.vis,anatomical,-0.0024,-0.0355,,,
internvl3_8b,general,nodule,0.6,5.2576,llm.L21.vis,anatomical,0.0018,0.0132,,,
lingshu7b,medical,consolidation,0.05,36.8576,vis.last,anatomical,0.0007,0.014,,,
lingshu7b,medical,consolidation,0.05,0.6345,connector,anatomical,0.0001,0.0282,,,
lingshu7b,medical,consolidation,0.05,0.687,llm.L7.vis,anatomical,0.0057,0.0361,,,
lingshu7b,medical,consolidation,0.05,0.9461,llm.L14.vis,anatomical,0.0001,0.0149,,,
lingshu7b,medical,consolidation,0.05,1.7841,llm.L21.vis,anatomical,-0.0083,0.0423,,,
lingshu7b,medical,consolidation,0.1,55.5151,vis.last,anatomical,0.0006,0.0137,,,
lingshu7b,medical,consolidation,0.1,1.0418,connector,anatomical,0.0017,0.0238,,,
lingshu7b,medical,consolidation,0.1,1.0992,llm.L7.vis,anatomical,0.0044,0.0229,,,
lingshu7b,medical,consolidation,0.1,1.488,llm.L14.vis,anatomical,0.0034,0.0057,,,
lingshu7b,medical,consolidation,0.1,2.7004,llm.L21.vis,anatomical,-0.0014,0.0365,,,
lingshu7b,medical,consolidation,0.2,76.3533,vis.last,anatomical,0.0005,0.0139,,,
lingshu7b,medical,consolidation,0.2,1.8542,connector,anatomical,0.0025,0.0258,,,
lingshu7b,medical,consolidation,0.2,1.9044,llm.L7.vis,anatomical,0.0038,0.0167,,,
lingshu7b,medical,consolidation,0.2,2.7871,llm.L14.vis,anatomical,0.0044,0.0033,,,
lingshu7b,medical,consolidation,0.2,5.4907,llm.L21.vis,anatomical,-0.0007,0.0212,,,
lingshu7b,medical,consolidation,0.3,101.8372,vis.last,anatomical,0.0001,0.0168,,,
lingshu7b,medical,consolidation,0.3,2.784,connector,anatomical,0.0022,0.0241,,,
lingshu7b,medical,consolidation,0.3,2.8137,llm.L7.vis,anatomical,0.0023,0.0124,,,
lingshu7b,medical,consolidation,0.3,4.4459,llm.L14.vis,anatomical,0.0054,0.001,,,
lingshu7b,medical,consolidation,0.3,8.891,llm.L21.vis,anatomical,-0.0023,0.012,,,
lingshu7b,medical,consolidation,0.45,116.9066,vis.last,anatomical,-0.0013,-0.0109,,,
lingshu7b,medical,consolidation,0.45,4.1143,connector,anatomical,0.0015,0.0192,,,
lingshu7b,medical,consolidation,0.45,4.0743,llm.L7.vis,anatomical,0.0007,0.0073,,,
lingshu7b,medical,consolidation,0.45,6.254,llm.L14.vis,anatomical,0.004,-0.0042,,,
lingshu7b,medical,consolidation,0.45,11.8785,llm.L21.vis,anatomical,-0.0056,0.0025,,,
lingshu7b,medical,consolidation,0.6,143.758,vis.last,anatomical,-0.0013,-0.0116,,,
lingshu7b,medical,consolidation,0.6,5.1509,connector,anatomical,0.0006,0.0146,,,
lingshu7b,medical,consolidation,0.6,5.0665,llm.L7.vis,anatomical,0.0001,0.0044,,,
lingshu7b,medical,consolidation,0.6,7.2737,llm.L14.vis,anatomical,0.0032,-0.0073,,,
lingshu7b,medical,consolidation,0.6,13.1735,llm.L21.vis,anatomical,-0.0078,-0.0044,,,
lingshu7b,medical,effusion,0.05,48.9436,vis.last,anatomical,0.0022,0.0167,nan,nan,nan
lingshu7b,medical,effusion,0.05,0.8864,connector,anatomical,0.0051,-0.0097,0.0463,0.0986,0.0389
lingshu7b,medical,effusion,0.05,0.9725,llm.L7.vis,anatomical,0.0085,0.0045,0.0356,nan,-0.0055
lingshu7b,medical,effusion,0.05,1.3251,llm.L14.vis,anatomical,0.007,-0.0052,0.0521,nan,-0.0143
lingshu7b,medical,effusion,0.05,2.6066,llm.L21.vis,anatomical,-0.0041,0.0015,0.0299,nan,0.0113
lingshu7b,medical,effusion,0.1,71.1134,vis.last,anatomical,0.0084,-0.0082,nan,nan,nan
lingshu7b,medical,effusion,0.1,1.4794,connector,anatomical,0.0032,-0.0122,0.0473,0.1111,0.0285
lingshu7b,medical,effusion,0.1,1.5473,llm.L7.vis,anatomical,0.0081,0.0036,0.0449,nan,0.0018
lingshu7b,medical,effusion,0.1,1.9712,llm.L14.vis,anatomical,0.008,-0.0148,0.0538,nan,-0.0186
lingshu7b,medical,effusion,0.1,3.586,llm.L21.vis,anatomical,0.0072,0.02,0.0286,nan,0.0006
lingshu7b,medical,effusion,0.2,97.2515,vis.last,anatomical,0.0044,0.003,nan,nan,nan
lingshu7b,medical,effusion,0.2,2.5645,connector,anatomical,0.0052,-0.0125,0.0617,0.1423,0.0369
lingshu7b,medical,effusion,0.2,2.6293,llm.L7.vis,anatomical,0.0071,-0.001,0.0645,nan,-0.0134
lingshu7b,medical,effusion,0.2,3.2173,llm.L14.vis,anatomical,0.0028,-0.0122,0.061,nan,-0.0198
lingshu7b,medical,effusion,0.2,5.3773,llm.L21.vis,anatomical,0.0046,0.0088,0.0336,nan,0.0024
lingshu7b,medical,effusion,0.3,134.4575,vis.last,anatomical,0.0011,0.0276,nan,nan,nan
lingshu7b,medical,effusion,0.3,3.6456,connector,anatomical,0.0064,-0.007,0.0691,0.1585,0.0316
lingshu7b,medical,effusion,0.3,3.7127,llm.L7.vis,anatomical,0.0076,-0.0022,0.0732,nan,-0.0133
lingshu7b,medical,effusion,0.3,4.5833,llm.L14.vis,anatomical,0.0018,-0.0091,0.065,nan,-0.0169
lingshu7b,medical,effusion,0.3,7.4664,llm.L21.vis,anatomical,0.0039,0.0026,0.0444,nan,0.0081
lingshu7b,medical,effusion,0.45,168.9899,vis.last,anatomical,0.0006,-0.0044,nan,nan,nan
lingshu7b,medical,effusion,0.45,5.1813,connector,anatomical,0.0064,-0.0019,0.0799,0.1727,0.0141
lingshu7b,medical,effusion,0.45,5.2368,llm.L7.vis,anatomical,0.0075,0.0018,0.0849,nan,-0.0072
lingshu7b,medical,effusion,0.45,6.5346,llm.L14.vis,anatomical,0.0017,-0.006,0.0613,nan,-0.0185
lingshu7b,medical,effusion,0.45,10.6005,llm.L21.vis,anatomical,0.0054,-0.0001,0.054,nan,0.0084
lingshu7b,medical,effusion,0.6,197.9756,vis.last,anatomical,0.0003,-0.015,nan,nan,nan
lingshu7b,medical,effusion,0.6,6.5418,connector,anatomical,0.0059,0.002,0.0831,0.1729,0.0045
lingshu7b,medical,effusion,0.6,6.5636,llm.L7.vis,anatomical,0.0075,0.0052,0.0892,nan,-0.0026
lingshu7b,medical,effusion,0.6,8.2325,llm.L14.vis,anatomical,0.0014,-0.0064,0.0544,nan,-0.0188
lingshu7b,medical,effusion,0.6,13.4092,llm.L21.vis,anatomical,0.0056,-0.0021,0.0524,nan,0.0065
lingshu7b,medical,nodule,0.05,26.8263,vis.last,anatomical,-0.0002,0.014,,,
lingshu7b,medical,nodule,0.05,0.4303,connector,anatomical,0.0062,-0.0033,,,
lingshu7b,medical,nodule,0.05,0.5015,llm.L7.vis,anatomical,0.0058,0.0026,,,
lingshu7b,medical,nodule,0.05,0.7446,llm.L14.vis,anatomical,0.0044,0.0141,,,
lingshu7b,medical,nodule,0.05,1.4567,llm.L21.vis,anatomical,-0.0061,-0.0127,,,
lingshu7b,medical,nodule,0.1,37.9051,vis.last,anatomical,0.0008,0.0145,,,
lingshu7b,medical,nodule,0.1,0.6957,connector,anatomical,0.0113,0.0139,,,
lingshu7b,medical,nodule,0.1,0.7831,llm.L7.vis,anatomical,0.0051,0.008,,,
