model,concept,locus,real,real_lo,real_hi,control,control_lo,control_hi,selectivity,sel_lo,sel_hi,n_test_patients
lingshu7b,Effusion,connector,0.8071336266576413,0.7824793077658159,0.8296627286249888,0.8390448635468576,0.8176266009954475,0.8592359749021213,-0.031911236889216266,-0.0629056629815217,-0.002373716359218987,1659
lingshu7b,Atelectasis,connector,0.749119323011526,0.7255296583028406,0.7726097791590559,0.6138549604172121,0.5835646461080904,0.6446896535378785,0.13526436259431385,0.09817695518061888,0.17159689839817474,1659
lingshu7b,Pneumothorax,connector,0.8191194389655928,0.7837758154031974,0.8489958079804834,0.6986958228259643,0.6660997457685732,0.730920281424464,0.12042361613962849,0.07192709698629371,0.16212688098598482,1659
lingshu7b,Consolidation,connector,0.7242439257743262,0.6909642248524234,0.7545368180962368,0.66841533973185,0.6347705891028804,0.7004974233542057,0.0558285860424762,0.011151412759826493,0.0975424152687841,1659
lingshu7b,Cardiomegaly,connector,0.8678763068018185,0.8294341399349273,0.8949984721055699,0.6898211440922438,0.6581314384341126,0.7231964763521442,0.17805516270957467,0.12480109860247522,0.2209153945636055,1659
lingshu7b,Infiltration,connector,0.7356819380349203,0.7133789633376707,0.7559716300776687,0.7135133707617312,0.6869789503148356,0.739810676688424,0.022168567273189166,-0.012576708145406363,0.05350547001164973,1659
lingshu7b,Mass,connector,0.6698393694178926,0.6301059448140149,0.7101391198275422,0.6204076818883537,0.5867346984347548,0.6542090244249829,0.04943168752953886,0.0025105199140457893,0.09606635477456332,1659
lingshu7b,Nodule,connector,0.6394236946121814,0.6040672786282724,0.6739911579596777,0.7235962890283733,0.6948116728209466,0.7502915691333907,-0.08417259441619185,-0.12925985148862182,-0.039145373210097256,1659
lingshu7b,Edema,connector,0.8408416237899685,0.7971803467023448,0.8787129915528707,0.7050179049466139,0.6601454692579681,0.7446091354215657,0.13582371884335465,0.07564414864318178,0.19078153893268981,1659
lingshu7b,Effusion,llm.L10.ans,0.7853952186086582,0.7602653916027741,0.8089695771900147,0.7895665773329259,0.7657642180064537,0.8125920979662563,-0.00417135872426766,-0.036579709574604866,0.026298373232588174,1659
lingshu7b,Atelectasis,llm.L10.ans,0.7074950166653007,0.68312480104783,0.7306950757323306,0.5789246270506712,0.5501679375161224,0.6087443008917293,0.12857038961462952,0.09280858467905212,0.16209380082823846,1659
lingshu7b,Pneumothorax,llm.L10.ans,0.7811615165461319,0.748207381130808,0.8072138136403363,0.6990726000944469,0.6686967999506697,0.7296876189095596,0.08208891645168492,0.03648094755238443,0.1186021835659852,1659
lingshu7b,Consolidation,llm.L10.ans,0.7109931064111299,0.6790244362483233,0.7420738725765968,0.6284490470206026,0.6012005153851244,0.6569940930271772,0.08254405939052734,0.03958102693465726,0.12145799594638382,1659
lingshu7b,Cardiomegaly,llm.L10.ans,0.8031250165641604,0.7599245686539454,0.8333105038816981,0.6424173534147959,0.6090181628174566,0.6777377478299437,0.16070766314936447,0.1075029841353283,0.2062554658382179,1659
lingshu7b,Infiltration,llm.L10.ans,0.7304163528878256,0.7060942942520838,0.7515128942467828,0.6739701235634237,0.6501005637835634,0.6989873146880423,0.05644622932440191,0.021026739421269737,0.09090673303575993,1659
lingshu7b,Mass,llm.L10.ans,0.621433886433789,0.5808451419946673,0.6598307860283523,0.6136852527461042,0.5824008678319225,0.6457024654521075,0.007748633687684858,-0.03872593036600036,0.05420155499949099,1659
lingshu7b,Nodule,llm.L10.ans,0.6263499777050567,0.5923985407452695,0.6596895404426144,0.6695679493555194,0.6429726526747563,0.6961105631894093,-0.043217971650462705,-0.08721817310843799,-1.5311456693246774e-05,1659
lingshu7b,Edema,llm.L10.ans,0.8228193466586466,0.78993508981314,0.8525043980474406,0.660920990185665,0.6194390472860697,0.6999945955405705,0.16189835647298167,0.11206420605510624,0.20998715246767072,1659
lingshu7b,Effusion,llm.L16.ans,0.8324586935786591,0.8089754032582408,0.8542627461050599,0.7850569058299153,0.7627403857309087,0.8073827848207881,0.04740178774874382,0.01713081789112438,0.07536598146458255,1659
lingshu7b,Atelectasis,llm.L16.ans,0.7678795546798644,0.7458287727151633,0.788298343005917,0.5952350061511444,0.5654838305343002,0.6250140140374122,0.1726445485287199,0.13444802302485123,0.21057693629039578,1659
lingshu7b,Pneumothorax,llm.L16.ans,0.853616480385711,0.8257401921340466,0.8776605791332845,0.6972708354741133,0.6667359696399043,0.727248219766798,0.15634564491159775,0.11571227119453767,0.194270629992723,1659
lingshu7b,Consolidation,llm.L16.ans,0.7411570054070723,0.7092962064224683,0.7700919705305513,0.6507471866440195,0.6230780521338083,0.6783946956234627,0.09040981876305276,0.048969133428781085,0.12537853613728414,1659
lingshu7b,Cardiomegaly,llm.L16.ans,0.8809412330095887,0.8495601291330303,0.9049747202781889,0.6648677740749351,0.6309328615126372,0.6988455537147547,0.21607345893465357,0.16880564526258537,0.2578969374189447,1659
lingshu7b,Infiltration,llm.L16.ans,0.7299367073023091,0.7052876508150158,0.7523667270364031,0.6697622250737123,0.6435713512539535,0.696507304357916,0.06017448222859678,0.024988702869578945,0.0938268085461876,1659
lingshu7b,Mass,llm.L16.ans,0.7304013817777518,0.6946397068807597,0.7633262779788151,0.5977017046537938,0.5659342303817746,0.6308290419861173,0.13269967712395803,0.08747859721589762,0.17722736317775692,1659
lingshu7b,Nodule,llm.L16.ans,0.6754229426301988,0.6444753153891508,0.704767885476469,0.6790651335331515,0.6542738241905368,0.7032293806706648,-0.003642190902952702,-0.0429729722723257,0.03326779306552176,1659
lingshu7b,Edema,llm.L16.ans,0.8628125960127915,0.8309852780500382,0.8906212642403522,0.6663286333276492,0.6285644681150496,0.7042502429097038,0.19648396268514223,0.14776055573449537,0.24131376696664694,1659
lingshu7b,Effusion,llm.L18.ans,0.8247247776991476,0.7993561433600922,0.8472493598042886,0.7739451628267375,0.7513983643737628,0.7969647770497861,0.05077961487241012,0.019252341494359122,0.08023605784380713,1659
lingshu7b,Atelectasis,llm.L18.ans,0.7577157870282257,0.7336673859390345,0.7804187785085123,0.6079945763355861,0.5775973943899986,0.6388411247130937,0.14972121069263966,0.11215815852951602,0.1859697010894157,1659
lingshu7b,Pneumothorax,llm.L18.ans,0.870725399956169,0.8437231608177601,0.8928514937439638,0.6946930556748776,0.6651969085175466,0.7229171969749797,0.17603234428129144,0.13501391867306253,0.21069675704843183,1659
lingshu7b,Consolidation,llm.L18.ans,0.7354903198514537,0.7001694369501006,0.767254404611678,0.6592831986938705,0.6317586125418163,0.6868831720029143,0.07620712115758321,0.033671765363902824,0.11582644299962312,1659
lingshu7b,Cardiomegaly,llm.L18.ans,0.87876183122755,0.8423283175921993,0.9057300241099073,0.6559856019702567,0.6211413890187804,0.6897772678253022,0.22277622925729335,0.17378425043214407,0.26626043890906764,1659
lingshu7b,Infiltration,llm.L18.ans,0.7221210492080462,0.6959768955607942,0.7432646760081004,0.6805573247912906,0.6539258285005528,0.7074396842307519,0.0415637244167556,0.004763570373145107,0.07460861016196055,1659
lingshu7b,Mass,llm.L18.ans,0.7247849354211415,0.695344681357694,0.7536262131219845,0.601454513610818,0.5708182382348473,0.6323026090399146,0.1233304218103235,0.08206110845343999,0.16445724205185488,1659
lingshu7b,Nodule,llm.L18.ans,0.6792730714874129,0.6463049107212362,0.7112839003765743,0.6745957715622102,0.6501750776884657,0.6984659555485664,0.004677299925202716,-0.036845425835605454,0.04546465940237923,1659
lingshu7b,Edema,llm.L18.ans,0.8393389559866545,0.7970381483166129,0.8740042998475451,0.6660206641368953,0.6257150570891087,0.7047820926426804,0.17331829184975922,0.1219065042412308,0.22381610633863944,1659
lingshu7b,Effusion,llm.L20.vis,0.8233454355250609,0.7978055998912914,0.8456531918122342,0.8217383824668908,0.7988478881855697,0.8434073194053099,0.0016070530581701048,-0.030781692367919354,0.03272447123237898,1659
lingshu7b,Atelectasis,llm.L20.vis,0.7597534849477217,0.7371266265246738,0.7819227101633628,0.6221905719521716,0.5938333800527693,0.6515402342274772,0.13756291299555,0.1007132884728959,0.1731416266051419,1659
lingshu7b,Pneumothorax,llm.L20.vis,0.8589011615165462,0.8290919831147495,0.8816944339101046,0.6915547424803175,0.6616067866233002,0.7210527338112505,0.1673464190362287,0.12670140752921458,0.2035629109767828,1659
lingshu7b,Consolidation,llm.L20.vis,0.7354778004298774,0.7033173699841158,0.7654661972970093,0.6626378083982843,0.6334665621283343,0.6920511108802706,0.07283999203159308,0.03193073871783343,0.11100852971658355,1659
lingshu7b,Cardiomegaly,llm.L20.vis,0.896640523268449,0.8651497275302674,0.9205120735280308,0.6791629853522436,0.6461134328517383,0.7104674911631507,0.2174775379162054,0.17160616727795674,0.2564370426765095,1659
lingshu7b,Infiltration,llm.L20.vis,0.7266017597606594,0.7029328346372345,0.7473423026971552,0.6933500383708393,0.666048763071201,0.7198473547139554,0.03325172138982013,-0.0036568381414323974,0.06679461108560851,1659
lingshu7b,Mass,llm.L20.vis,0.7451217058941862,0.7061614631891788,0.7804499765264148,0.614497113712795,0.581888234157733,0.6481295093396356,0.13062459218139122,0.0831610724436397,0.17680568958288734,1659
lingshu7b,Nodule,llm.L20.vis,0.6817429922081063,0.6429159475184116,0.7185597706200081,0.7082078869907663,0.6832117791644197,0.7322405804704968,-0.02646489478266001,-0.069169987789848,0.01532702816261314,1659
lingshu7b,Edema,llm.L20.vis,0.8468663588487553,0.8141734221955644,0.8756495505122451,0.692076419092857,0.6497943914791158,0.7314870050931386,0.15478993975589828,0.10697367897036988,0.2003017433523656,1659
lingshu7b,Effusion,llm.L21.ans,0.8308464354942925,0.8059097729098785,0.8524950476321335,0.7816839291680588,0.7578498106669214,0.8055341475354942,0.049162506326233646,0.017251906331517766,0.07825891764527017,1659
lingshu7b,Atelectasis,llm.L21.ans,0.7656261323836494,0.7431482985130966,0.7870648669856457,0.5925459076934483,0.5615322915072146,0.624085691225489,0.17308022469020112,0.1338114371878998,0.2083666284553477,1659
lingshu7b,Pneumothorax,llm.L21.ans,0.8627394258163489,0.8352474464920746,0.885033587384588,0.6905127090734816,0.659629844224126,0.7206322849549217,0.17222671674286727,0.13100126431651257,0.20994831109162101,1659
lingshu7b,Consolidation,llm.L21.ans,0.7521734374773498,0.7178551164082434,0.7822455315426798,0.6524303084144034,0.6249427450756708,0.6790993830597519,0.09974312906294636,0.05649553815312247,0.1376294184026717,1659
lingshu7b,Cardiomegaly,llm.L21.ans,0.8761928403957024,0.845217769696918,0.9005749742865946,0.6472036649530255,0.6113318880411818,0.6829123551837064,0.22898917544267694,0.18476510640780147,0.27022151459520743,1659
