arch,domain,concept,n,prevalence,behavioural_auroc,mean_p_yes,sd_p_yes,median_p_yes,frac_pinned,mean_margin,sd_margin,yes_rate,elapsed_s
llava15_7b,general,Effusion,1000,0.126,0.5127,0.5826,0.0933,0.5622,0.0,0.3501,0.409,0.75,536.0
llava15_7b,general,Cardiomegaly,1000,0.037,0.6357,0.5575,0.0936,0.5312,0.0,0.2445,0.4077,0.631,599.6
llava15_7b,general,Pneumothorax,1000,0.085,0.5394,0.5242,0.1153,0.5,0.0,0.1094,0.4979,0.48,607.8
llava15_7b,general,Atelectasis,1000,0.096,0.4734,0.6532,0.0978,0.6514,0.0,0.6694,0.472,0.925,604.2
llava15_7b,general,Consolidation,1000,0.05,0.4686,0.5937,0.091,0.5927,0.0,0.3984,0.4071,0.81,599.8
llava15_7b,general,Edema,1000,0.038,0.4979,0.503,0.1134,0.4688,0.0,0.0199,0.4827,0.383,591.2
llava15_7b,general,Infiltration,1000,0.168,0.5388,0.6069,0.1349,0.5927,0.0,0.4851,0.6386,0.717,600.0
llava15_7b,general,Mass,1000,0.073,0.5751,0.4182,0.1519,0.3775,0.0,-0.3425,0.6683,0.242,603.4
llava15_7b,general,Nodule,1000,0.076,0.5783,0.5366,0.1633,0.5,0.0,0.183,0.7376,0.482,605.6
