run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,2,IY,car,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,1,IY,chair,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,2,IY,chair,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,1,IY,bottle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,2,IY,bottle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,1,IY,bicycle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REFIT,vis.last,2,IY,bicycle,4200,4200,0,COMPLETE,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,person,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,dog,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,car,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,chair,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,bottle,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS,connector,0,IY,bicycle,76200,76200,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,person,400,400,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,dog,400,400,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,car,400,400,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,chair,400,400,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,LOCUS_CALIBRATION,connector,0,IY,bottle,400,400,0,COMPLETE,,,
