arch,domain,concept,n,prevalence,behavioural_auroc,mean_p_yes,sd_p_yes,median_p_yes,frac_pinned,mean_margin,sd_margin,yes_rate,elapsed_s
lingshu7b,medical,Effusion,1000,0.126,0.8271,0.3554,0.3348,0.2018,0.276,-1.0257,2.1103,0.348,551.7
lingshu7b,medical,Cardiomegaly,1000,0.037,0.7454,0.204,0.2217,0.1067,0.345,-2.0822,1.7256,0.131,623.4
lingshu7b,medical,Pneumothorax,1000,0.085,0.8378,0.2786,0.2678,0.1645,0.183,-1.3222,1.6135,0.199,643.0
lingshu7b,medical,Atelectasis,1000,0.096,0.7255,0.4304,0.3221,0.3775,0.117,-0.502,1.8473,0.431,636.7
lingshu7b,medical,Consolidation,1000,0.05,0.758,0.3766,0.3208,0.2451,0.134,-0.7963,1.8446,0.359,624.9
lingshu7b,medical,Edema,1000,0.038,0.8482,0.2389,0.3048,0.0601,0.473,-2.2251,2.3524,0.218,627.0
lingshu7b,medical,Infiltration,1000,0.168,0.7415,0.4248,0.3176,0.3486,0.049,-0.4209,1.7756,0.39,631.6
lingshu7b,medical,Mass,1000,0.073,0.6951,0.4455,0.3101,0.4073,0.067,-0.2574,1.7977,0.406,644.8
lingshu7b,medical,Nodule,1000,0.076,0.7234,0.3636,0.2356,0.2942,0.012,-0.6596,1.2457,0.252,628.1
