arch,domain,concept,n,prevalence,behavioural_auroc,mean_p_yes,sd_p_yes,median_p_yes,frac_pinned,mean_margin,sd_margin,yes_rate,elapsed_s
llavamed7b,medical,Effusion,1000,0.126,0.5557,0.9671,0.0061,0.9669,0.988,3.3967,0.193,1.0,534.5
llavamed7b,medical,Cardiomegaly,1000,0.037,0.5946,0.8703,0.0275,0.8706,0.0,1.9263,0.2487,1.0,597.2
llavamed7b,medical,Pneumothorax,1000,0.085,0.4513,0.9008,0.0194,0.9047,0.002,2.2255,0.22,1.0,605.0
llavamed7b,medical,Atelectasis,1000,0.096,0.5765,0.9762,0.0041,0.9756,1.0,3.7271,0.1773,1.0,607.4
llavamed7b,medical,Consolidation,1000,0.05,0.5749,0.9314,0.0124,0.9325,0.041,2.6252,0.1946,1.0,594.4
llavamed7b,medical,Edema,1000,0.038,0.6835,0.9753,0.0043,0.9756,1.0,3.6909,0.1796,1.0,598.8
llavamed7b,medical,Infiltration,1000,0.168,0.5093,0.9513,0.0101,0.9526,0.542,2.9938,0.217,1.0,591.4
llavamed7b,medical,Mass,1000,0.073,0.4947,0.9387,0.0116,0.9399,0.132,2.7489,0.2183,1.0,603.0
llavamed7b,medical,Nodule,1000,0.076,0.5457,0.9367,0.0114,0.9363,0.087,2.7117,0.197,1.0,599.5
