concept,locus,dim,real,perm,control,selectivity,n_types,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1280,0.6371890095689363,0.5163570351681487,0.6225503988413648,0.014638610727571555,39,0.9964145625708226,0.7693259350479078
Effusion,vis.block12,1280,0.7647124703855266,0.5131423648503124,0.7264653608852978,0.038247109500228804,39,0.9992800069732981,0.9787482260325984
Effusion,vis.block16,1280,0.7906501338420356,0.5281200578443741,0.7382704431421256,0.05237969069991,39,0.9992118720399803,0.9880327234772319
Effusion,vis.block20,1280,0.7979080643672503,0.5409710470447063,0.7359417666946162,0.06196629767263406,39,0.9983657785396751,0.9860124625653773
Effusion,vis.block24,1280,0.7991434109719701,0.5490418756345958,0.732236398141879,0.06690701283009104,39,0.9988944417003225,0.9845462198496641
Effusion,vis.block28,1280,0.8010811975016153,0.5363191901787637,0.7311419104030561,0.06993928709855923,39,0.9984931865066683,0.9842869859760589
Effusion,vis.block4,1280,0.7166921017814836,0.5257478231439032,0.6933999488837373,0.02329215289774622,39,0.9988674201702648,0.9277738593282956
Effusion,vis.block8,1280,0.7543894034029723,0.5273625426909941,0.7074074582662618,0.0469819451367105,39,0.9992015573699045,0.9714416133646935
Effusion,vis.last,1280,0.8050672287006554,0.5795190917202547,0.7276356542657418,0.07743157443491355,39,0.99793299822762,0.9812326336056972
Effusion,connector,3584,0.8071336266576413,0.5539971077812991,0.7243767122826997,0.08275691437494159,39,0.9985810791178777,0.9816751655939912
Effusion,llm.L0.ans,3584,0.8062475000769208,0.535085689671087,0.7016616428497764,0.10458585722714442,39,0.9983644710462853,0.9667263440202722
Effusion,llm.L0.vis,3584,0.8023500815359527,0.5538660348912341,0.7181607897910959,0.08418929174485679,39,0.9986031612284627,0.9800048633014138
Effusion,llm.L1.ans,3584,0.7982843604812159,0.5479283714347251,0.6983500152452011,0.09993434523601474,39,0.9983996280907691,0.9660653900737458
Effusion,llm.L1.vis,3584,0.8018762499615396,0.5622571613181133,0.7231861013088453,0.0786901486526943,39,0.9983929453467764,0.9820461700790358
Effusion,llm.L2.ans,3584,0.7976776099196947,0.5327060705824437,0.6956706150990266,0.1020069948206681,39,0.9986663567423076,0.9605684374582283
Effusion,llm.L2.vis,3584,0.801297190855666,0.5528208362819605,0.7218892783639208,0.07940791249174517,39,0.9975090798152075,0.981719532554257
Effusion,llm.L3.ans,3584,0.8023808498200056,0.5413968800959971,0.6850630097614125,0.11731784005859303,39,0.99859517099108,0.9532032376504851
Effusion,llm.L3.vis,3584,0.8013768807113628,0.5668610196609335,0.7271103393850804,0.07426654132628241,39,0.9982828253479386,0.979487959773956
Effusion,llm.L4.ans,3584,0.796920710131996,0.5338697270853204,0.680899024082934,0.11602168604906193,39,0.9980185664061365,0.9536335402843465
Effusion,llm.L4.vis,3584,0.8095067844066337,0.5390289529552936,0.7218117912662934,0.08769499314034035,39,0.9977262689949733,0.9790970470375101
Effusion,llm.L5.ans,3584,0.7866022583920496,0.5242844835543522,0.6809903831926141,0.10561187519943549,39,0.9985494087224336,0.9494381607050932
Effusion,llm.L5.vis,3584,0.8001335343527891,0.5647041629488324,0.7194978275588398,0.08063570679394927,39,0.9988347328355173,0.9811382116133363
