concept,locus,dim,real,perm,control,selectivity,n_types,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.block12,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.block16,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.block20,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.block4,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.block8,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,vis.last,1024,0.5,0.5,0.5,0.0,39,0.5,0.5
Effusion,connector,3584,0.510625211531953,0.49996523183902036,0.572814297189897,-0.06218908565794401,39,0.9196538048057644,0.5905565209477466
Effusion,llm.L0.ans,3584,0.5292695609365865,0.5247032399003108,0.5989703634722153,-0.06970080253562883,39,0.8492863991632043,0.6218683609536622
Effusion,llm.L0.vis,3584,0.5516184117411772,0.5224860773514661,0.6155769135074037,-0.06395850176622653,39,0.940102565592585,0.6531120862994257
Effusion,llm.L1.ans,3584,0.5797710839666472,0.509692317159472,0.6221917808219178,-0.04242069685527061,39,0.8686384635499899,0.6798996339725778
Effusion,llm.L1.vis,3584,0.5593806344420171,0.4981274422325467,0.6218205600301412,-0.06243992558812406,39,0.9397870238544904,0.6699702513843344
Effusion,llm.L2.ans,3584,0.5605338297283161,0.5075009999692317,0.6164016748299223,-0.05586784510160614,39,0.8645412150971904,0.6742141217759299
Effusion,llm.L2.vis,3584,0.548791421802406,0.5100027691455647,0.6319430444085845,-0.08315162260617848,39,0.937711160182468,0.6856761553184895
Effusion,llm.L3.ans,3584,0.5684791237192701,0.49933417433309746,0.6239655650418352,-0.05548644132256508,39,0.8650739460150506,0.6791347305133769
Effusion,llm.L3.vis,3584,0.5548140057229008,0.5002787606535184,0.6281443936561195,-0.07333038793321867,39,0.9445878490280966,0.6850521738388513
Effusion,llm.L4.ans,3584,0.5660398141595644,0.5017427156087504,0.6260083457144685,-0.059968531554904114,39,0.8695773890809775,0.6625487396654846
Effusion,llm.L4.vis,3584,0.5619254792160242,0.5209532014399557,0.635898941501802,-0.07397346228577784,39,0.9431840369584799,0.6838137383998886
Effusion,llm.L5.ans,3584,0.5566721023968494,0.4950213839574167,0.6235061953067796,-0.06683409290993025,39,0.8643879478164862,0.6741957777442813
Effusion,llm.L5.vis,3584,0.5593255592135626,0.4981794406325959,0.6443828507652607,-0.08505729155169806,39,0.9467928639916322,0.6811493033534026
Effusion,llm.L6.ans,3584,0.5332245161687332,0.5129491400264607,0.6208957070042866,-0.08767119083555341,39,0.8681841822355231,0.6626798497211424
Effusion,llm.L6.vis,3584,0.554859542783299,0.501846712408849,0.636209595439003,-0.08135005265570405,39,0.9470007554406251,0.6964861936276532
Effusion,llm.L7.ans,3584,0.5745057075166918,0.4900107688994185,0.6201966290137981,-0.045690921497106296,39,0.8686117325740187,0.6686464948679371
Effusion,llm.L7.vis,3584,0.562379926771484,0.5236398880034461,0.6370652088916693,-0.07468528212018533,39,0.9472334892640264,0.6894780625289736
Effusion,llm.L8.ans,3584,0.5722586997323159,0.49542629457555154,0.6237837223023935,-0.05152502257007763,39,0.8649681843275125,0.6671023255681672
Effusion,llm.L8.vis,3584,0.5511667333312821,0.4692701763022676,0.6454531495475258,-0.09428641621624367,39,0.9473072900020338,0.6938369741733099
Effusion,llm.L9.ans,3584,0.557201624565398,0.5029605242915602,0.6295461040299707,-0.07234447946457268,39,0.8655405758781997,0.6697842514355271
Effusion,llm.L9.vis,3584,0.5674585397372389,0.5187292698686194,0.6360021610708675,-0.06854362133362857,39,0.9456541825260772,0.6915276170107476
Effusion,llm.L10.ans,3584,0.5647106242884834,0.48449524630011387,0.6263204214088192,-0.06160979712033576,39,0.8665790161838627,0.6694042882373519
Effusion,llm.L10.vis,3584,0.5746198578505277,0.4920614750315375,0.6381829943627328,-0.06356313651220513,39,0.9489441264491386,0.6949215472692989
Effusion,llm.L11.ans,3584,0.5527663764191871,0.5217787145010923,0.6242086855144273,-0.07144230909524019,39,0.8668060842025743,0.6787320150278857
Effusion,llm.L11.vis,3584,0.5573800806129042,0.49638288052675306,0.6447643082085149,-0.08738422759561071,39,0.951872330534329,0.6993389038516779
Effusion,llm.L12.ans,3584,0.5714630319067106,0.4998901572259315,0.6286860831301405,-0.057223051223429966,39,0.8647441671267106,0.6812157115920059
Effusion,llm.L12.vis,3584,0.563557121319344,0.4967302544537091,0.6418394694002317,-0.07828234808088774,39,0.9498831972571694,0.6974015465867304
Effusion,llm.L13.ans,3584,0.5617682532845143,0.4960096612411926,0.6235150102011076,-0.06174675691659326,39,0.8727743556963129,0.6676634538540953
Effusion,llm.L13.vis,3584,0.5775025383834343,0.49656564413402665,0.6425177897363351,-0.06501525135290076,39,0.9461533544469304,0.6944716207876273
Effusion,llm.L14.ans,3584,0.5578256053659888,0.49630626749946155,0.6286794008715371,-0.07085379550554827,39,0.8655896795188425,0.6710329254037821
Effusion,llm.L14.vis,3584,0.5708221285498908,0.5113664194947848,0.6496352482032544,-0.07881311965336357,39,0.9500132202109424,0.6980080372454942
Effusion,llm.L15.ans,3584,0.5657192086397341,0.4884437401926095,0.6269287912931591,-0.06120958265342502,39,0.8691916785309586,0.6727114754005112
Effusion,llm.L15.vis,3584,0.5679729854466017,0.4772083935878896,0.6419553426079292,-0.0739823571613275,39,0.9481278147427142,0.6987777755657498
Effusion,llm.L16.ans,3584,0.5510947355465986,0.48570474754622933,0.6286961776059031,-0.07760144205930453,39,0.858484469884069,0.6797454872260127
Effusion,llm.L16.vis,3584,0.561391034122027,0.4958921263961109,0.6402789487527635,-0.07888791463073652,39,0.9511128221518436,0.7046047785491436
Effusion,llm.L17.ans,3584,0.5449247715454909,0.5085951201501492,0.6310733555601368,-0.08614858401464587,39,0.8670799314292357,0.6797828862982881
Effusion,llm.L17.vis,3584,0.5643226362265776,0.5048198516968709,0.6474451734899161,-0.08312253726333851,39,0.9516377081093645,0.706533461504552
Effusion,llm.L18.ans,3584,0.5515051844558629,0.49816651795329375,0.6261405691293871,-0.07463538467352415,39,0.8676982305256123,0.6768663274679834
Effusion,llm.L18.vis,3584,0.5554853696809329,0.5043487892680225,0.6462382438455687,-0.09075287416463584,39,0.9506235290699364,0.707467442898869
Effusion,llm.L19.ans,3584,0.5537743454047568,0.5012688840343373,0.6249268150507212,-0.07115246964596444,39,0.860444983583694,0.6757002727430441
Effusion,llm.L19.vis,3584,0.5643174056182886,0.5187794221716255,0.6443406245779159,-0.08002321895962727,39,0.9498518174158119,0.7018435040797695
Effusion,llm.L20.ans,3584,0.5611670410141227,0.5038595735515831,0.6287941366735148,-0.06762709565939207,39,0.8707961181974023,0.6704754943645428
Effusion,llm.L20.vis,3584,0.5600467677917602,0.528477277622227,0.649477575335357,-0.08943080754359678,39,0.9525767789173955,0.7123904690668433
Effusion,llm.L21.ans,3584,0.5668533275899204,0.5073173133134365,0.6209886899218744,-0.05413536233195404,39,0.8659107417845833,0.6697814073996127
Effusion,llm.L21.vis,3584,0.5685677363773423,0.5112153472200855,0.6522734607701659,-0.08370572439282364,39,0.9499564168870035,0.6991812020602196
Effusion,llm.L22.ans,3584,0.5673736192732531,0.5017171779329866,0.6215288154630307,-0.0541551961897776,39,0.8710860911758723,0.6781029142836016
Effusion,llm.L22.vis,3584,0.5772203932186701,0.5171379342174087,0.6401956337837934,-0.06297524056512327,39,0.9486837899875061,0.7060560900763054
Effusion,llm.L23.ans,3584,0.5526873019291714,0.49950770745515527,0.624797150798672,-0.07210984886950067,39,0.8688709068193043,0.6780731941082951
Effusion,llm.L23.vis,3584,0.5845995507830529,0.5030885203532199,0.6457396336131824,-0.061140082830129505,39,0.9485851468750907,0.7118082949151482
Effusion,llm.L24.ans,3584,0.5586378880649826,0.4871597796990862,0.6200393826730456,-0.06140149460806299,39,0.8645670744109015,0.6663058533103157
Effusion,llm.L24.vis,3584,0.5672831605181379,0.5093150979969847,0.6385250691329414,-0.0712419086148035,39,0.9490185082953193,0.7019347976326245
Effusion,llm.L25.ans,3584,0.5654718316359497,0.49882280545214,0.6268154772483312,-0.06134364561238148,39,0.8589493564226981,0.6714433197862422
Effusion,llm.L25.vis,3584,0.5699870773206978,0.5056487492692533,0.6469614917076014,-0.07697441438690367,39,0.9484889734724119,0.7056912002684769
Effusion,llm.L26.ans,3584,0.572023937724993,0.504837389618781,0.6232980500600693,-0.05127411233507628,39,0.8601494900775779,0.6803956338360639
