concept,locus,dim,real,perm,control,selectivity,nuis_view_AP,nuis_sex_M
Effusion,vis.block0,1280,0.6393747884680472,0.4907710531983631,0.9967577069471483,-0.3573829184791011,0.9967672952320075,0.786438641347163
Effusion,vis.block12,1280,0.7738155749053875,0.5443764807236701,0.9993629601650347,-0.22554738525964713,0.9993629601650347,0.9827611607079374
Effusion,vis.block16,1280,0.7837208085905049,0.5279646780099074,0.9993674637533776,-0.21564665516287274,0.9993674637533777,0.9853587609104328
Effusion,vis.block20,1280,0.7909267407156704,0.5182782068244054,0.9989782665543191,-0.20805152583864872,0.9989795740477089,0.9849861922056353
Effusion,vis.block24,1280,0.782506999784622,0.5423965416448724,0.9991348752070197,-0.2166278754223977,0.9991340035447598,0.9817512435547037
Effusion,vis.block28,1280,0.7811571951632258,0.5252223008522815,0.9990629630705756,-0.21790576790734983,0.9990641252869221,0.9799499734082642
Effusion,vis.block4,1280,0.7250389218793268,0.5036331189809544,0.9989285818055031,-0.2738896599261763,0.9989275648661998,0.9358138066567505
Effusion,vis.block8,1280,0.7745266299498477,0.5460025845358605,0.9988576866083622,-0.2243310566585145,0.9988560885608857,0.9805593081029427
Effusion,vis.last,1280,0.7715128765268762,0.5466733331282114,0.9987147339977337,-0.22720185747085753,0.9987237411744196,0.9672586053416682
Effusion,connector,3584,0.7698166210270454,0.5376302267622535,0.9986160908853182,-0.22879946985827282,0.9986160908853182,0.9684346141923079
Effusion,llm.L0.ans,3584,0.7356927479154489,0.5026036121965478,0.9984096522067581,-0.26271690429130923,0.9984097974838015,0.9355299718724848
Effusion,llm.L0.vis,3584,0.7795713978031446,0.5386698870803975,0.9985611761629427,-0.21898977835979816,0.9985611761629427,0.969569811127575
Effusion,llm.L1.ans,3584,0.738258207439771,0.5248592351004585,0.9985013220210942,-0.2602431145813232,0.9985013220210942,0.9293045194574717
Effusion,llm.L1.vis,3584,0.764233715885665,0.5338214208793576,0.9984260685126536,-0.23419235262698856,0.9984260685126536,0.9706459943176162
Effusion,llm.L2.ans,3584,0.7239294175563828,0.5334829697547768,0.9983711537902781,-0.27444173623389523,0.9983711537902781,0.9262956716617418
Effusion,llm.L2.vis,3584,0.7669573243900187,0.5204519860927356,0.9983640352151554,-0.23140671082513664,0.9983640352151554,0.9654156700690815
Effusion,llm.L3.ans,3584,0.7249290791052583,0.5276243807882834,0.9979835546386959,-0.27305447553343765,0.9979835546386959,0.9185116875655905
Effusion,llm.L3.vis,3584,0.7538054213716501,0.5574200793821729,0.9983804515210507,-0.24457503014940063,0.9983804515210507,0.9628925836075458
Effusion,llm.L4.ans,3584,0.7187425002307621,0.5077708378203748,0.9982510096754511,-0.27950850944468897,0.9982510096754511,0.9125328130643633
Effusion,llm.L4.vis,3584,0.7580646749330789,0.521990092612535,0.9979922712612953,-0.23992759632821636,0.9979922712612953,0.9605304695787699
Effusion,llm.L5.ans,3584,0.7152059936617334,0.5071785483523583,0.9983601127349856,-0.28315411907325216,0.9983601127349856,0.9096024606598733
Effusion,llm.L5.vis,3584,0.7577056090581828,0.5452659918156364,0.9983704274050615,-0.2406648183468787,0.9983704274050614,0.9627964551936362
Effusion,llm.L6.ans,3584,0.706685948124673,0.5219642472539305,0.9981992910480286,-0.2915133429233556,0.9981992910480286,0.9072754704746412
Effusion,llm.L6.vis,3584,0.7524113104212178,0.5250001538414203,0.9984430659267223,-0.2460317555055045,0.9984430659267223,0.9608772997585413
Effusion,llm.L7.ans,3584,0.7164358019753239,0.5096387803452201,0.9983787081965307,-0.2819429062212069,0.9983787081965307,0.9100603504421053
Effusion,llm.L7.vis,3584,0.7499486169656319,0.5305424448478508,0.9986237905686144,-0.24867517360298252,0.9986237905686144,0.9634918219747278
Effusion,llm.L8.ans,3584,0.7020537829605242,0.49835174302329155,0.9980213266699596,-0.29596754370943534,0.9980213266699596,0.907232241128741
Effusion,llm.L8.vis,3584,0.7595720131688255,0.5485468139441864,0.9979235552198041,-0.23835154205097864,0.9979235552198041,0.9595822680048804
Effusion,llm.L9.ans,3584,0.7037632688224977,0.5400923048521583,0.9982372083563356,-0.2944739395338378,0.9982372083563356,0.9000383944848457
Effusion,llm.L9.vis,3584,0.7582646687794221,0.5368520968585582,0.9982393875119854,-0.23997471873256326,0.9982393875119854,0.9589557268929192
Effusion,llm.L10.ans,3584,0.6830845204762931,0.5259432017476385,0.9983041810733068,-0.3152196605970137,0.9983041810733068,0.8920173599952219
Effusion,llm.L10.vis,3584,0.7680855973662349,0.5276569951693794,0.9985786094081412,-0.2304930120419063,0.9985786094081412,0.9608997676422658
Effusion,llm.L11.ans,3584,0.6988068059444325,0.5236100427679149,0.9975812825057384,-0.29877447656130596,0.9975812825057385,0.887680489629223
Effusion,llm.L11.vis,3584,0.7639524937694224,0.5274145410910434,0.9981395821832234,-0.23418708841380098,0.9981395821832234,0.9613595060478423
Effusion,llm.L12.ans,3584,0.6972480846743178,0.5189194178640658,0.9976232675712583,-0.30037518289694054,0.9976186187058721,0.8851744673831741
Effusion,llm.L12.vis,3584,0.7594040183378973,0.520076920710132,0.998230670889386,-0.23882665255148872,0.998230670889386,0.958262635340559
Effusion,llm.L13.ans,3584,0.7088948032368234,0.5311581182117473,0.9976810878345004,-0.28878628459767697,0.9976810878345005,0.8919953187168846
Effusion,llm.L13.vis,3584,0.7507815144149411,0.5388788037291161,0.9971790103727809,-0.24639749595783977,0.9971790103727809,0.9524168617201297
Effusion,llm.L14.ans,3584,0.7101904556782868,0.5187397310851973,0.9978616671993491,-0.28767121152106234,0.9978616671993491,0.8846474675282199
Effusion,llm.L14.vis,3584,0.7566277960678133,0.5263154979846774,0.9983582241334223,-0.24173042806560907,0.9983582241334225,0.9544455125379323
Effusion,llm.L15.ans,3584,0.7195852435309683,0.5225953047598536,0.9974079669930558,-0.2778227234620875,0.9974079669930557,0.8945401620531663
Effusion,llm.L15.vis,3584,0.7471154733700502,0.5187544998615428,0.9980088328442338,-0.25089335947418356,0.998008832844234,0.9539729759707406
Effusion,llm.L16.ans,3584,0.7305119842466387,0.5250893818651733,0.99780965801784,-0.2672976737712014,0.99780965801784,0.9035051320628077
Effusion,llm.L16.vis,3584,0.7327066859481246,0.5228983723577736,0.9981334805474039,-0.2654267945992793,0.9981334805474038,0.9528222790397397
Effusion,llm.L17.ans,3584,0.7158804344481708,0.542193470970124,0.997506610105471,-0.2816261756573002,0.9975007990237382,0.8990235002687612
Effusion,llm.L17.vis,3584,0.7557422848527738,0.517178856035199,0.9981324636081007,-0.24239017875532687,0.9981324636081006,0.9481729913285345
Effusion,llm.L18.ans,3584,0.7210156610565829,0.5294812467308698,0.9974502426126624,-0.2764345815560795,0.9974502426126624,0.8927831166651973
Effusion,llm.L18.vis,3584,0.74581582105166,0.5302679917540998,0.9978756137955079,-0.25205979274384793,0.997875613795508,0.9500228944891117
Effusion,llm.L19.ans,3584,0.7239248023137749,0.5320968585581982,0.9975223000261499,-0.27359749771237507,0.9975223000261499,0.9019714856959213
Effusion,llm.L19.vis,3584,0.7442601766099505,0.5372714685701978,0.9982624865618736,-0.2540023099519231,0.9982624865618734,0.9474931245431768
Effusion,llm.L20.ans,3584,0.7204098335435833,0.5422851604566014,0.9975836069384316,-0.2771737733948483,0.9975827352761717,0.8931424606029925
Effusion,llm.L20.vis,3584,0.7514187255776745,0.5309464324174641,0.9973389603974779,-0.2459202348198034,0.9973389603974779,0.9479336657063305
Effusion,llm.L21.ans,3584,0.722303621427033,0.5444946309344327,0.9979170177528547,-0.2756133963258217,0.997917598861028,0.8912170482888858
Effusion,llm.L21.vis,3584,0.7507245930894434,0.5171370111688871,0.9979558067234214,-0.24723121363397804,0.9979558067234215,0.9473884640215238
Effusion,llm.L22.ans,3584,0.7217448693886341,0.5388015753361435,0.9975374088386554,-0.27579253945002125,0.9975284016619693,0.8885615719555305
Effusion,llm.L22.vis,3584,0.7324645395526292,0.538553582966678,0.9979693174884505,-0.2655047779358213,0.9979693174884504,0.9438065429890249
